timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,alert_active
1767639586.83,2026-01-06 00:29:46,0,0,0,0.0%,28,NORMAL,0.0,0.0,0.8,False
1767639590.26,2026-01-06 00:29:50,11,11,11,19.6%,28,NORMAL,0.0,0.0,1.2,False
1767639591.27,2026-01-06 00:29:51,7,11,12,21.4%,28,NORMAL,0.0,0.0,3.6,False
1767639592.37,2026-01-06 00:29:52,12,12,18,26.8%,28,NORMAL,0.0,0.0,5.2,False
1767639593.43,2026-01-06 00:29:53,16,16,21,32.9%,28,NORMAL,0.0,0.0,6.0,False
1767639594.54,2026-01-06 00:29:54,10,16,24,33.3%,28,NORMAL,1200.0,0.0,7.7,False
1767639595.76,2026-01-06 00:29:55,10,16,26,33.7%,28,NORMAL,1017.4,0.0,9.2,False
1767639596.93,2026-01-06 00:29:56,9,16,27,33.5%,28,NORMAL,867.9,0.0,10.2,False
1767639598.15,2026-01-06 00:29:58,10,16,28,33.7%,28,NORMAL,763.6,0.0,10.8,False
1767639599.32,2026-01-06 00:29:59,9,16,31,33.6%,28,NORMAL,734.2,0.0,11.3,False
1767639600.33,2026-01-06 00:30:00,12,16,33,34.4%,28,NORMAL,698.8,0.0,11.7,False
1767639601.42,2026-01-06 00:30:01,12,16,36,35.1%,28,NORMAL,689.4,0.0,12.4,False
1767639602.46,2026-01-06 00:30:02,12,16,40,35.7%,28,NORMAL,705.9,0.0,13.2,False
1767639603.64,2026-01-06 00:30:03,13,16,43,36.5%,28,NORMAL,697.3,0.0,13.9,False
1767639604.64,2026-01-06 00:30:04,14,16,44,37.4%,28,NORMAL,660.0,0.0,14.5,False
1767639605.65,2026-01-06 00:30:05,12,16,47,37.7%,28,NORMAL,660.9,0.0,14.5,False
1767639606.74,2026-01-06 00:30:06,12,16,47,38.0%,28,NORMAL,622.1,0.0,14.4,False
1767639607.96,2026-01-06 00:30:07,12,16,48,38.3%,28,NORMAL,591.8,0.0,14.4,False
1767639608.97,2026-01-06 00:30:08,9,16,49,38.0%,28,NORMAL,569.0,0.0,14.4,False
1767639610.04,2026-01-06 00:30:10,11,16,49,38.0%,28,NORMAL,541.1,0.0,14.4,False
1767639611.11,2026-01-06 00:30:11,11,16,51,38.1%,28,NORMAL,536.8,0.0,14.3,False
1767639612.30,2026-01-06 00:30:12,10,16,51,38.0%,28,NORMAL,507.2,0.0,14.3,False
1767639613.47,2026-01-06 00:30:13,11,16,51,38.0%,28,NORMAL,480.6,0.0,14.2,False
1767639614.68,2026-01-06 00:30:14,11,16,51,38.1%,28,NORMAL,456.7,0.0,14.2,False
1767639615.68,2026-01-06 00:30:15,10,16,53,38.0%,28,NORMAL,454.3,0.0,14.2,False
1767639616.75,2026-01-06 00:30:16,10,16,54,37.9%,28,NORMAL,441.8,0.0,14.2,False
1767639617.82,2026-01-06 00:30:17,11,16,55,38.0%,28,NORMAL,430.4,0.0,14.2,False
1767639618.90,2026-01-06 00:30:18,10,16,56,37.9%,28,NORMAL,420.0,0.0,14.2,False
1767639619.98,2026-01-06 00:30:19,9,16,56,37.7%,28,NORMAL,403.2,0.0,14.2,False
1767639621.04,2026-01-06 00:30:21,10,16,56,37.6%,28,NORMAL,387.7,0.0,14.2,False
