timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,processing_fps,alert_active,area_used_sqm,area_free_sqm
1768822434.06,2026-01-19 17:03:54,0,0,0,0.0%,124,NORMAL,0.0,0.0,0.4,0.4,False,0.00,80.00
1768822438.23,2026-01-19 17:03:58,16,16,16,7.6%,124,NORMAL,0.0,0.0,0.4,0.4,False,12.14,67.86
1768822440.71,2026-01-19 17:04:00,16,16,0,10.1%,124,NORMAL,0.0,0.0,0.4,0.4,False,12.14,67.86
1768822443.06,2026-01-19 17:04:03,11,16,0,10.2%,124,NORMAL,0.0,0.0,0.4,0.4,False,8.49,71.51
1768822445.48,2026-01-19 17:04:05,10,16,9,10.1%,124,NORMAL,0.0,0.0,0.4,0.4,False,7.74,72.26
1768822447.87,2026-01-19 17:04:07,11,16,12,10.2%,124,NORMAL,0.0,0.0,0.4,0.4,False,8.49,71.51
1768822450.29,2026-01-19 17:04:10,8,16,12,9.9%,124,NORMAL,0.0,0.0,0.4,0.4,False,6.23,73.77
1768822452.97,2026-01-19 17:04:12,10,16,13,9.8%,124,NORMAL,0.0,0.0,0.4,0.4,False,7.74,72.26
1768822455.65,2026-01-19 17:04:15,10,16,13,9.8%,124,NORMAL,0.0,0.0,0.4,0.4,False,7.74,72.26
1768822458.29,2026-01-19 17:04:18,11,16,15,9.9%,124,NORMAL,0.0,0.0,0.4,0.4,False,8.49,71.51
1768822461.08,2026-01-19 17:04:21,12,16,15,10.0%,124,NORMAL,0.0,0.0,0.4,0.4,False,9.23,70.77
1768822463.72,2026-01-19 17:04:23,9,16,16,9.9%,124,NORMAL,0.0,0.0,0.4,0.4,False,6.99,73.01
1768822466.35,2026-01-19 17:04:26,9,16,16,9.8%,124,NORMAL,0.0,0.0,0.4,0.4,False,6.99,73.01
1768822468.81,2026-01-19 17:04:28,10,16,17,9.8%,124,NORMAL,0.0,0.0,0.4,0.4,False,7.74,72.26
1768822471.49,2026-01-19 17:04:31,11,16,17,9.9%,124,NORMAL,0.0,0.0,0.4,0.4,False,8.49,71.51
1768822474.13,2026-01-19 17:04:34,11,16,18,9.9%,124,NORMAL,0.0,0.0,0.4,0.4,False,8.49,71.51
1768822476.73,2026-01-19 17:04:36,11,16,18,10.0%,124,NORMAL,1045.2,0.0,0.4,0.4,False,8.49,71.51
1768822479.20,2026-01-19 17:04:39,12,16,18,10.1%,124,NORMAL,981.8,0.0,0.4,0.4,False,9.23,70.77
1768822481.99,2026-01-19 17:04:41,11,16,19,10.1%,124,NORMAL,977.1,0.0,0.4,0.4,False,8.49,71.51
1768822484.70,2026-01-19 17:04:44,9,16,19,10.0%,124,NORMAL,924.3,0.0,0.4,0.4,False,6.99,73.01
1768822487.22,2026-01-19 17:04:47,11,16,19,10.0%,124,NORMAL,876.9,0.0,0.4,0.4,False,8.49,71.51
1768822489.85,2026-01-19 17:04:49,12,16,19,10.1%,124,NORMAL,834.1,0.0,0.4,0.4,False,9.23,70.77
1768822492.32,2026-01-19 17:04:52,10,16,22,10.1%,124,NORMAL,920.9,0.0,0.4,0.4,False,7.74,72.26
