timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,processing_fps,alert_active,area_used_sqm,area_free_sqm
1767950809.27,2026-01-09 14:56:49,0,0,0,0.0%,124,NORMAL,0.0,0.0,0.3,0.3,False,0.00,80.00
1767950813.35,2026-01-09 14:56:53,17,17,17,8.0%,124,NORMAL,0.0,0.0,0.3,0.3,False,12.85,67.15
1767950815.57,2026-01-09 14:56:55,17,17,0,10.7%,124,NORMAL,0.0,0.0,0.3,0.3,False,12.85,67.15
1767950817.82,2026-01-09 14:56:57,14,17,0,11.4%,124,NORMAL,0.0,0.0,0.4,0.4,False,10.69,69.31
1767950820.43,2026-01-09 14:57:00,11,17,10,11.2%,124,NORMAL,0.0,0.0,0.4,0.4,False,8.49,71.51
1767950823.67,2026-01-09 14:57:03,9,17,11,10.8%,124,NORMAL,0.0,0.0,0.4,0.4,False,6.99,73.01
1767950826.88,2026-01-09 14:57:06,9,17,12,10.5%,124,NORMAL,0.0,0.0,0.4,0.4,False,6.99,73.01
1767950829.81,2026-01-09 14:57:09,11,17,13,10.5%,124,NORMAL,0.0,0.0,0.4,0.4,False,8.49,71.51
1767950832.85,2026-01-09 14:57:12,11,17,14,10.5%,124,NORMAL,0.0,0.0,0.4,0.4,False,8.49,71.51
1767950836.57,2026-01-09 14:57:16,10,17,15,10.4%,124,NORMAL,0.0,0.0,0.4,0.4,False,7.74,72.26
1767950840.63,2026-01-09 14:57:20,10,17,15,10.4%,124,NORMAL,0.0,0.0,0.4,0.4,False,7.74,72.26
1767950844.12,2026-01-09 14:57:24,10,17,15,10.3%,124,NORMAL,0.0,0.0,0.4,0.4,False,7.74,72.26
1767950847.31,2026-01-09 14:57:27,12,17,17,10.4%,124,NORMAL,0.0,0.0,0.4,0.4,False,9.23,70.77
1767950850.46,2026-01-09 14:57:30,11,17,18,10.4%,124,NORMAL,0.0,0.0,0.4,0.4,False,8.49,71.51
1767950853.57,2026-01-09 14:57:33,10,17,18,10.4%,124,NORMAL,0.0,0.0,0.4,0.4,False,7.74,72.26
1767950857.48,2026-01-09 14:57:37,10,17,18,10.3%,124,NORMAL,0.0,0.0,0.4,0.4,False,7.74,72.26
1767950860.88,2026-01-09 14:57:40,13,17,19,10.5%,124,NORMAL,1103.2,0.0,0.3,0.3,False,9.96,70.04
1767950864.21,2026-01-09 14:57:44,14,17,19,10.6%,124,NORMAL,1036.4,0.0,0.3,0.3,False,10.69,69.31
1767950867.47,2026-01-09 14:57:47,12,17,21,10.7%,124,NORMAL,1080.0,0.0,0.3,0.3,False,9.23,70.77
1767950870.85,2026-01-09 14:57:50,11,17,22,10.7%,124,NORMAL,1070.3,0.0,0.3,0.3,False,8.49,71.51
1767950874.06,2026-01-09 14:57:54,11,17,22,10.7%,124,NORMAL,1015.4,0.0,0.3,0.3,False,8.49,71.51
1767950877.69,2026-01-09 14:57:57,13,17,22,10.7%,124,NORMAL,965.9,0.0,0.3,0.3,False,9.96,70.04
1767950881.11,2026-01-09 14:58:01,9,17,23,10.7%,124,NORMAL,962.8,0.0,0.3,0.3,False,6.99,73.01
1767950884.55,2026-01-09 14:58:04,9,17,24,10.6%,124,NORMAL,960.0,0.0,0.3,0.3,False,6.99,73.01
1767950889.08,2026-01-09 14:58:09,11,17,24,10.6%,124,NORMAL,919.1,0.0,0.3,0.3,False,8.49,71.51
1767950892.52,2026-01-09 14:58:12,12,17,25,10.6%,124,NORMAL,918.4,0.0,0.3,0.3,False,9.23,70.77
1767950896.23,2026-01-09 14:58:16,11,17,26,10.6%,124,NORMAL,917.6,0.0,0.3,0.3,False,8.49,71.51
1767950901.15,2026-01-09 14:58:21,9,17,26,10.5%,124,NORMAL,883.0,0.0,0.3,0.3,False,6.99,73.01
1767950905.95,2026-01-09 14:58:25,9,17,26,10.5%,124,NORMAL,850.9,0.0,0.3,0.3,False,6.99,73.01
1767950909.75,2026-01-09 14:58:29,10,17,26,10.5%,124,NORMAL,821.1,0.0,0.3,0.3,False,7.74,72.26
1767950913.11,2026-01-09 14:58:33,10,17,27,10.8%,124,NORMAL,823.7,0.0,0.3,0.3,False,7.74,72.26
1767950916.81,2026-01-09 14:58:36,10,17,27,10.6%,124,NORMAL,796.7,0.0,0.3,0.3,False,7.74,72.26
1767950920.89,2026-01-09 14:58:40,12,17,27,10.4%,124,NORMAL,771.4,0.0,0.3,0.3,False,9.23,70.77
1767950924.52,2026-01-09 14:58:44,12,17,28,10.4%,124,NORMAL,775.4,0.0,0.3,0.3,False,9.23,70.77
1767950930.00,2026-01-09 14:58:49,11,17,28,10.4%,124,NORMAL,752.2,0.0,0.3,0.3,False,8.49,71.51
1767950933.87,2026-01-09 14:58:53,8,17,28,10.3%,124,NORMAL,730.4,0.0,0.3,0.3,False,6.23,73.77
1767950938.04,2026-01-09 14:58:58,9,17,28,10.3%,124,NORMAL,709.9,0.0,0.3,0.3,False,6.99,73.01
1767950942.61,2026-01-09 14:59:02,10,17,28,10.3%,124,NORMAL,690.4,0.0,0.3,0.3,False,7.74,72.26
1767950948.11,2026-01-09 14:59:08,11,17,30,10.3%,124,NORMAL,720.0,0.0,0.3,0.3,False,8.49,71.51
1767950953.07,2026-01-09 14:59:13,9,17,30,10.3%,124,NORMAL,701.3,0.0,0.3,0.3,False,6.99,73.01
1767950958.16,2026-01-09 14:59:18,11,17,30,10.3%,124,NORMAL,683.5,0.0,0.3,0.3,False,8.49,71.51
1767950963.44,2026-01-09 14:59:23,13,17,30,10.4%,124,NORMAL,666.7,0.0,0.3,0.3,False,9.96,70.04
1767950968.54,2026-01-09 14:59:28,11,17,31,10.4%,124,NORMAL,672.3,0.0,0.3,0.3,False,8.49,71.51
1767950973.50,2026-01-09 14:59:33,13,17,32,10.4%,124,NORMAL,677.6,0.0,0.3,0.3,False,9.96,70.04
1767950978.78,2026-01-09 14:59:38,13,17,32,10.5%,124,NORMAL,662.1,0.0,0.3,0.3,False,9.96,70.04
1767950984.54,2026-01-09 14:59:44,12,17,32,10.6%,124,NORMAL,647.2,0.0,0.3,0.3,False,9.23,70.77
1767950990.55,2026-01-09 14:59:50,10,17,33,10.5%,124,NORMAL,652.7,0.0,0.3,0.3,False,7.74,72.26
1767950997.69,2026-01-09 14:59:57,11,17,33,10.4%,124,NORMAL,638.7,0.0,0.3,0.3,False,8.49,71.51
1767951004.62,2026-01-09 15:00:04,10,17,33,10.3%,124,NORMAL,625.3,0.0,0.3,0.3,False,7.74,72.26
1767951012.26,2026-01-09 15:00:12,11,17,33,10.3%,124,NORMAL,612.4,0.0,0.3,0.3,False,8.49,71.51
1767951021.06,2026-01-09 15:00:21,10,17,35,10.3%,124,NORMAL,636.4,0.0,0.3,0.3,False,7.74,72.26
1767951028.72,2026-01-09 15:00:28,10,17,36,10.2%,124,NORMAL,641.6,0.0,0.3,0.3,False,7.74,72.26
1767951035.72,2026-01-09 15:00:35,9,17,36,10.2%,124,NORMAL,629.1,0.0,0.3,0.3,False,6.99,73.01
1767951042.98,2026-01-09 15:00:42,9,17,36,10.2%,124,NORMAL,617.1,0.0,0.3,0.3,False,6.99,73.01
1767951051.41,2026-01-09 15:00:51,6,17,36,10.0%,124,NORMAL,605.6,0.0,0.3,0.3,False,4.71,75.29
1767951062.18,2026-01-09 15:01:02,6,17,36,9.9%,124,NORMAL,594.5,0.0,0.3,0.3,False,4.71,75.29
1767951069.50,2026-01-09 15:01:09,7,17,36,9.7%,124,NORMAL,583.8,0.0,0.3,0.3,False,5.47,74.53
1767951075.68,2026-01-09 15:01:15,6,17,36,9.6%,124,NORMAL,573.5,0.0,0.3,0.3,False,4.71,75.29
1767951084.07,2026-01-09 15:01:24,6,17,36,9.5%,124,NORMAL,563.5,0.0,0.3,0.3,False,4.71,75.29
