timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,alert_active
1767797910.79,2026-01-07 20:28:30,0,0,0,0.0%,152,NORMAL,0.0,0.0,1.3,False
1767797911.84,2026-01-07 20:28:31,26,30,34,10.0%,152,NORMAL,0.0,0.0,4.3,False
1767797912.94,2026-01-07 20:28:32,26,30,36,13.3%,152,NORMAL,0.0,0.0,6.4,False
1767797913.98,2026-01-07 20:28:33,27,30,41,15.1%,152,NORMAL,0.0,0.0,7.6,False
1767797915.00,2026-01-07 20:28:35,26,30,47,16.1%,152,NORMAL,2286.5,0.0,9.1,False
1767797916.08,2026-01-07 20:28:36,25,30,52,16.6%,152,NORMAL,2034.8,0.0,10.3,False
1767797917.13,2026-01-07 20:28:37,25,30,57,17.0%,152,NORMAL,1865.5,0.0,11.0,False
1767797918.15,2026-01-07 20:28:38,27,30,62,17.4%,152,NORMAL,1743.8,0.0,11.5,False
1767797919.26,2026-01-07 20:28:39,26,30,65,17.7%,152,NORMAL,1581.1,0.0,11.9,False
1767797920.34,2026-01-07 20:28:40,24,30,69,17.8%,152,NORMAL,1478.6,0.0,12.3,False
1767797921.41,2026-01-07 20:28:41,23,30,72,17.8%,152,NORMAL,1378.7,0.0,13.1,False
