timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,alert_active
1767682102.47,2026-01-06 12:18:22,0,0,0,0.0%,78,NORMAL,0.0,0.0,1.1,False
1767682106.08,2026-01-06 12:18:26,6,6,6,4.7%,78,NORMAL,0.0,0.0,1.6,False
1767682107.15,2026-01-06 12:18:27,4,6,6,5.2%,78,NORMAL,0.0,0.0,4.1,False
1767682108.25,2026-01-06 12:18:28,6,6,7,6.2%,78,NORMAL,0.0,0.0,5.2,False
1767682109.32,2026-01-06 12:18:29,7,7,9,7.1%,78,NORMAL,0.0,0.0,6.0,False
1767682110.38,2026-01-06 12:18:30,4,7,9,7.0%,78,NORMAL,540.0,0.0,6.7,False
1767682111.65,2026-01-06 12:18:31,7,7,12,7.5%,78,NORMAL,600.0,0.0,7.5,False
1767682112.75,2026-01-06 12:18:32,5,8,14,7.6%,78,NORMAL,586.0,0.0,8.2,False
1767682113.80,2026-01-06 12:18:33,6,8,15,7.8%,78,NORMAL,562.5,0.0,8.6,False
1767682114.87,2026-01-06 12:18:34,5,8,15,7.8%,78,NORMAL,500.0,0.0,8.9,False
1767682116.16,2026-01-06 12:18:36,5,8,16,7.8%,78,NORMAL,472.1,0.0,9.3,False
1767682117.25,2026-01-06 12:18:37,6,8,17,7.9%,78,NORMAL,450.0,0.0,9.5,False
1767682118.30,2026-01-06 12:18:38,6,8,19,8.0%,78,NORMAL,462.2,0.0,9.7,False
1767682119.71,2026-01-06 12:18:39,7,8,20,8.2%,78,NORMAL,444.4,0.0,9.8,False
1767682120.73,2026-01-06 12:18:40,7,8,20,8.4%,78,NORMAL,413.8,0.0,10.0,False
1767682121.77,2026-01-06 12:18:41,6,8,21,8.4%,78,NORMAL,406.5,0.0,10.4,False
1767682122.82,2026-01-06 12:18:42,6,8,22,8.5%,78,NORMAL,400.0,0.0,10.9,False
1767682123.90,2026-01-06 12:18:43,7,8,23,8.6%,78,NORMAL,398.1,0.0,11.1,False
1767682124.94,2026-01-06 12:18:44,8,8,25,8.8%,78,NORMAL,412.8,0.0,11.4,False
1767682126.05,2026-01-06 12:18:46,7,9,27,8.9%,78,NORMAL,426.3,0.0,11.5,False
1767682127.10,2026-01-06 12:18:47,10,10,28,9.2%,78,NORMAL,427.1,0.0,11.7,False
1767682128.12,2026-01-06 12:18:48,12,12,31,9.6%,78,NORMAL,461.2,0.0,11.7,False
1767682129.45,2026-01-06 12:18:49,10,12,31,9.8%,78,NORMAL,442.9,0.0,11.7,False
1767682130.66,2026-01-06 12:18:50,8,12,33,9.9%,78,NORMAL,453.4,0.0,11.7,False
1767682131.79,2026-01-06 12:18:51,8,12,34,10.0%,78,NORMAL,450.0,0.0,11.7,False
1767682132.79,2026-01-06 12:18:52,7,12,34,10.1%,78,NORMAL,434.0,0.0,11.7,False
