timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,alert_active
1767685071.02,2026-01-06 13:07:51,12,12,12,18.3%,76,NORMAL,0.0,0.0,5.7,False
1767685072.13,2026-01-06 13:07:52,12,12,12,18.3%,76,NORMAL,0.0,0.0,6.7,False
1767685073.16,2026-01-06 13:07:53,10,12,12,17.4%,76,NORMAL,0.0,0.0,7.1,False
1767685074.37,2026-01-06 13:07:54,10,12,12,16.9%,76,NORMAL,0.0,0.0,7.5,False
1767685075.58,2026-01-06 13:07:55,9,12,13,16.3%,76,NORMAL,0.0,0.0,7.7,False
1767685076.78,2026-01-06 13:07:56,10,12,13,16.2%,76,NORMAL,0.0,0.0,7.8,False
1767685078.14,2026-01-06 13:07:58,9,12,13,15.8%,76,NORMAL,754.8,0.0,7.9,False
1767685079.19,2026-01-06 13:07:59,11,12,15,16.0%,76,NORMAL,771.4,0.0,7.9,False
1767685080.19,2026-01-06 13:08:00,9,12,15,15.8%,76,NORMAL,692.3,0.0,7.9,False
1767685081.27,2026-01-06 13:08:01,6,12,15,15.1%,76,NORMAL,600.0,0.0,7.9,False
1767685082.30,2026-01-06 13:08:02,9,12,17,15.0%,76,NORMAL,612.0,0.0,7.9,False
1767685083.41,2026-01-06 13:08:03,8,12,17,14.8%,76,NORMAL,556.4,0.0,7.9,False
1767685084.46,2026-01-06 13:08:04,7,12,17,14.5%,76,NORMAL,510.0,0.0,8.0,False
1767685085.86,2026-01-06 13:08:05,9,12,18,14.5%,76,NORMAL,506.2,0.0,8.0,False
1767685086.98,2026-01-06 13:08:06,8,12,19,14.3%,76,NORMAL,495.7,0.0,8.0,False
1767685088.00,2026-01-06 13:08:08,6,12,20,14.0%,76,NORMAL,486.5,0.0,8.0,False
1767685089.17,2026-01-06 13:08:09,7,12,20,13.9%,76,NORMAL,450.0,0.0,8.0,False
1767685090.21,2026-01-06 13:08:10,8,12,20,13.8%,76,NORMAL,423.5,0.0,8.0,False
1767685091.49,2026-01-06 13:08:11,7,12,20,13.6%,76,NORMAL,404.5,0.0,8.0,False
1767685092.73,2026-01-06 13:08:12,8,12,21,13.6%,76,NORMAL,397.9,0.0,8.1,False
1767685093.77,2026-01-06 13:08:13,7,12,21,13.5%,76,NORMAL,378.0,0.0,8.1,False
1767685094.88,2026-01-06 13:08:14,9,12,22,13.5%,76,NORMAL,377.1,0.0,8.1,False
1767685095.97,2026-01-06 13:08:15,8,12,22,13.4%,76,NORMAL,360.0,0.0,8.1,False
1767685097.04,2026-01-06 13:08:17,9,12,25,13.5%,76,NORMAL,391.3,0.0,8.0,False
1767685098.21,2026-01-06 13:08:18,11,12,26,13.6%,76,NORMAL,390.0,0.0,8.1,False
1767685099.32,2026-01-06 13:08:19,9,12,26,13.6%,76,NORMAL,377.4,0.0,8.1,False
1767685100.33,2026-01-06 13:08:20,11,12,27,13.7%,76,NORMAL,379.7,0.0,8.2,False
1767685101.48,2026-01-06 13:08:21,8,12,27,13.7%,76,NORMAL,362.7,0.0,8.3,False
1767685102.66,2026-01-06 13:08:22,10,12,28,13.7%,76,NORMAL,365.2,0.0,8.3,False
1767685103.75,2026-01-06 13:08:23,11,12,30,13.9%,76,NORMAL,383.0,0.0,8.3,False
1767685105.18,2026-01-06 13:08:25,12,14,31,13.9%,76,NORMAL,382.2,0.0,8.3,False
1767685106.51,2026-01-06 13:08:26,13,14,32,13.9%,76,NORMAL,381.5,0.0,8.2,False
1767685107.79,2026-01-06 13:08:27,12,14,32,14.0%,76,NORMAL,369.2,0.0,8.2,False
1767685109.10,2026-01-06 13:08:29,13,14,32,14.1%,76,NORMAL,357.8,0.0,8.2,False
1767685110.18,2026-01-06 13:08:30,13,14,32,14.3%,76,NORMAL,351.2,0.0,8.2,False
1767685111.28,2026-01-06 13:08:31,12,14,32,14.4%,76,NORMAL,342.9,0.0,8.2,False
1767685112.44,2026-01-06 13:08:32,13,14,32,14.6%,76,NORMAL,334.9,0.0,8.2,False
1767685113.64,2026-01-06 13:08:33,13,14,33,14.7%,76,NORMAL,337.5,0.0,8.2,False
1767685114.95,2026-01-06 13:08:34,11,14,33,14.8%,76,NORMAL,328.2,0.0,8.3,False
1767685116.10,2026-01-06 13:08:36,9,14,33,15.0%,76,NORMAL,319.4,0.0,8.3,False
1767685117.36,2026-01-06 13:08:37,11,14,36,15.1%,76,NORMAL,339.3,0.0,8.3,False
1767685118.62,2026-01-06 13:08:38,11,14,37,15.2%,76,NORMAL,339.8,0.0,8.4,False
1767685119.92,2026-01-06 13:08:39,10,14,38,15.4%,76,NORMAL,340.3,0.0,8.4,False
1767685121.37,2026-01-06 13:08:41,11,14,39,15.5%,76,NORMAL,340.8,0.0,8.4,False
1767685122.71,2026-01-06 13:08:42,12,14,40,15.6%,76,NORMAL,341.2,0.0,8.4,False
1767685124.15,2026-01-06 13:08:44,12,14,40,15.9%,76,NORMAL,333.3,0.0,8.4,False
1767685125.52,2026-01-06 13:08:45,9,14,40,16.0%,76,NORMAL,325.8,0.0,8.3,False
1767685129.18,2026-01-06 13:08:49,14,14,45,16.3%,76,NORMAL,358.4,0.0,8.2,False
1767685130.68,2026-01-06 13:08:50,15,15,46,16.7%,76,NORMAL,358.4,0.0,8.1,False
1767685132.02,2026-01-06 13:08:52,14,15,46,17.0%,76,NORMAL,350.8,0.0,8.0,False
1767685133.31,2026-01-06 13:08:53,13,15,46,17.3%,76,NORMAL,343.6,0.0,8.0,False
1767685134.65,2026-01-06 13:08:54,12,15,47,17.4%,76,NORMAL,343.9,0.0,7.9,False
1767685135.97,2026-01-06 13:08:55,11,15,47,17.6%,76,NORMAL,337.1,0.0,7.9,False
1767685137.03,2026-01-06 13:08:57,12,15,47,17.7%,76,NORMAL,331.8,0.0,7.8,False
1767685138.22,2026-01-06 13:08:58,12,15,47,17.8%,76,NORMAL,326.6,0.0,7.8,False
1767685139.38,2026-01-06 13:08:59,12,15,48,17.9%,76,NORMAL,329.8,0.0,7.8,False
1767685140.73,2026-01-06 13:09:00,12,15,48,18.0%,76,NORMAL,324.8,0.0,7.8,False
1767685141.76,2026-01-06 13:09:01,13,15,49,18.2%,76,NORMAL,326.7,0.0,7.8,False
1767685143.13,2026-01-06 13:09:03,12,15,49,18.3%,76,NORMAL,323.1,0.0,7.8,False
1767685144.34,2026-01-06 13:09:04,13,15,50,18.4%,76,NORMAL,326.1,0.0,7.7,False
1767685145.91,2026-01-06 13:09:05,11,15,51,18.4%,76,NORMAL,326.7,0.0,7.6,False
1767685147.29,2026-01-06 13:09:07,12,15,53,18.3%,76,NORMAL,333.6,0.0,7.5,False
1767685148.60,2026-01-06 13:09:08,12,15,55,18.3%,76,NORMAL,340.2,0.0,7.4,False
1767685149.66,2026-01-06 13:09:09,12,15,55,18.3%,76,NORMAL,335.6,0.0,7.3,False
1767685150.74,2026-01-06 13:09:10,12,15,55,18.2%,76,NORMAL,334.5,0.0,7.3,False
1767685152.45,2026-01-06 13:09:12,10,15,55,18.1%,76,NORMAL,328.9,0.0,7.2,False
1767685154.29,2026-01-06 13:09:14,10,15,56,18.0%,76,NORMAL,329.4,0.0,7.1,False
1767685156.08,2026-01-06 13:09:16,10,15,56,17.8%,76,NORMAL,324.1,0.0,7.0,False
1767685157.72,2026-01-06 13:09:17,8,15,56,17.7%,76,NORMAL,319.0,0.0,7.0,False
1767685159.45,2026-01-06 13:09:19,10,15,57,17.7%,76,NORMAL,319.6,0.0,7.0,False
1767685161.17,2026-01-06 13:09:21,9,15,59,17.6%,76,NORMAL,325.8,0.0,7.0,False
1767685162.42,2026-01-06 13:09:22,9,15,60,17.5%,76,NORMAL,326.3,0.0,7.0,False
1767685164.31,2026-01-06 13:09:24,11,15,61,17.6%,76,NORMAL,326.8,0.0,7.0,False
1767685165.39,2026-01-06 13:09:25,14,15,63,17.7%,76,NORMAL,333.5,0.0,7.0,False
1767685166.50,2026-01-06 13:09:26,15,15,64,17.9%,76,NORMAL,336.8,0.0,7.0,False
1767685167.85,2026-01-06 13:09:27,16,16,65,18.1%,76,NORMAL,338.2,0.0,7.1,False
1767685169.33,2026-01-06 13:09:29,14,16,65,18.3%,76,NORMAL,333.3,0.0,7.0,False
1767685170.97,2026-01-06 13:09:30,13,16,66,18.2%,76,NORMAL,333.7,0.0,7.0,False
1767685172.55,2026-01-06 13:09:32,14,16,69,18.2%,76,NORMAL,344.0,0.0,7.0,False
1767685174.13,2026-01-06 13:09:34,13,16,69,18.2%,76,NORMAL,339.3,0.0,7.0,False
1767685175.87,2026-01-06 13:09:35,14,16,72,18.2%,76,NORMAL,349.3,0.0,7.1,False
1767685177.38,2026-01-06 13:09:37,13,16,72,18.2%,76,NORMAL,344.7,0.0,7.2,False
1767685178.94,2026-01-06 13:09:38,14,16,72,18.4%,76,NORMAL,340.2,0.0,7.3,False
1767685180.46,2026-01-06 13:09:40,15,16,74,18.5%,76,NORMAL,345.1,0.0,7.4,False
1767685181.90,2026-01-06 13:09:41,13,16,74,18.6%,76,NORMAL,340.7,0.0,7.5,False
1767685183.23,2026-01-06 13:09:43,11,16,76,18.5%,76,NORMAL,345.5,0.0,7.6,False
1767685184.61,2026-01-06 13:09:44,13,16,77,18.6%,76,NORMAL,345.6,0.0,7.7,False
1767685186.03,2026-01-06 13:09:46,12,16,77,18.5%,76,NORMAL,341.4,0.0,7.8,False
1767685187.21,2026-01-06 13:09:47,9,16,77,18.4%,76,NORMAL,337.2,0.0,8.0,False
1767685188.47,2026-01-06 13:09:48,10,16,79,18.2%,76,NORMAL,341.8,0.0,8.1,False
1767685189.71,2026-01-06 13:09:49,12,16,81,18.3%,76,NORMAL,346.3,0.0,8.2,False
1767685190.97,2026-01-06 13:09:50,9,16,82,18.1%,76,NORMAL,346.5,0.0,8.3,False
1767685192.31,2026-01-06 13:09:52,13,16,84,18.2%,76,NORMAL,350.8,0.0,8.4,False
1767685193.53,2026-01-06 13:09:53,11,16,84,18.1%,76,NORMAL,346.8,0.0,8.5,False
1767685194.76,2026-01-06 13:09:54,11,16,84,18.1%,76,NORMAL,342.9,0.0,8.6,False
1767685196.29,2026-01-06 13:09:56,14,16,85,18.3%,76,NORMAL,343.0,0.0,8.7,False
