timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,alert_active
1767798249.28,2026-01-07 20:34:09,0,0,0,0.0%,125,NORMAL,0.0,0.0,1.3,False
1767798250.31,2026-01-07 20:34:10,2,4,5,1.0%,125,NORMAL,0.0,0.0,6.1,False
1767798251.35,2026-01-07 20:34:11,5,6,9,2.3%,125,NORMAL,0.0,0.0,8.4,False
1767798252.37,2026-01-07 20:34:12,5,6,10,2.9%,125,NORMAL,473.7,0.0,10.4,False
1767798253.42,2026-01-07 20:34:13,4,6,11,3.1%,125,NORMAL,388.2,0.0,11.9,False
1767798254.44,2026-01-07 20:34:14,1,6,12,2.8%,125,NORMAL,337.5,0.0,12.9,False
1767798255.47,2026-01-07 20:34:15,1,6,14,2.5%,125,NORMAL,327.3,0.0,13.6,False
1767798256.49,2026-01-07 20:34:16,3,6,18,2.6%,125,NORMAL,360.0,0.0,14.1,False
