timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,processing_fps,alert_active,area_used_sqm,area_free_sqm
1768562747.63,2026-01-16 16:55:47,0,0,0,0.0%,119,NORMAL,0.0,0.0,0.2,0.2,False,0.00,76.71
1768562753.82,2026-01-16 16:55:53,9,9,0,4.6%,119,NORMAL,0.0,0.0,0.2,0.2,False,6.98,69.72
1768562759.77,2026-01-16 16:55:59,9,9,0,6.1%,119,NORMAL,0.0,0.0,0.2,0.2,False,6.98,69.72
1768562765.33,2026-01-16 16:56:05,9,9,8,6.8%,119,NORMAL,0.0,0.0,0.2,0.2,False,6.98,69.72
1768562771.09,2026-01-16 16:56:11,9,9,8,7.3%,119,NORMAL,0.0,0.0,0.2,0.2,False,6.98,69.72
1768562776.95,2026-01-16 16:56:16,9,9,9,7.6%,119,NORMAL,0.0,0.0,0.2,0.2,False,6.98,69.72
1768562782.50,2026-01-16 16:56:22,7,9,9,7.5%,119,NORMAL,0.0,0.0,0.2,0.2,False,5.47,71.24
1768562787.73,2026-01-16 16:56:27,9,9,9,7.7%,119,NORMAL,0.0,0.0,0.2,0.2,False,6.98,69.72
1768562792.84,2026-01-16 16:56:32,9,9,10,7.9%,119,NORMAL,0.0,0.0,0.2,0.2,False,6.98,69.72
1768562797.75,2026-01-16 16:56:37,8,9,11,7.9%,119,NORMAL,0.0,0.0,0.2,0.2,False,6.23,70.48
1768562802.75,2026-01-16 16:56:42,13,13,13,8.4%,119,NORMAL,0.0,0.0,0.2,0.2,False,9.95,66.76
1768562807.70,2026-01-16 16:56:47,13,13,13,8.7%,119,NORMAL,0.0,0.0,0.2,0.2,False,9.95,66.76
1768562812.71,2026-01-16 16:56:52,13,13,14,9.1%,119,NORMAL,0.0,0.0,0.2,0.2,False,9.95,66.76
1768562819.71,2026-01-16 16:56:59,12,13,16,9.3%,119,NORMAL,0.0,0.0,0.2,0.2,False,9.21,67.49
1768562827.32,2026-01-16 16:57:07,11,13,16,9.4%,119,NORMAL,0.0,0.0,0.2,0.2,False,8.47,68.23
1768562835.09,2026-01-16 16:57:15,13,13,18,9.6%,119,NORMAL,1045.2,0.0,0.2,0.2,False,9.95,66.76
1768562843.26,2026-01-16 16:57:23,14,14,19,9.9%,119,NORMAL,1036.4,0.0,0.2,0.2,False,10.67,66.03
1768562852.13,2026-01-16 16:57:32,13,14,19,10.0%,119,NORMAL,977.1,0.0,0.2,0.2,False,9.95,66.76
1768562857.23,2026-01-16 16:57:37,15,15,19,10.3%,119,NORMAL,924.3,0.0,0.2,0.2,False,11.39,65.31
1768562862.55,2026-01-16 16:57:42,11,15,19,10.3%,119,NORMAL,876.9,0.0,0.2,0.2,False,8.47,68.23
1768562868.34,2026-01-16 16:57:48,10,15,19,10.3%,119,NORMAL,834.1,0.0,0.2,0.2,False,7.73,68.98
