timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,processing_fps,alert_active,area_used_sqm,area_free_sqm
1768824246.48,2026-01-19 17:34:06,0,0,0,0.0%,93,NORMAL,0.0,0.0,0.2,0.2,False,0.00,60.00
1768824251.75,2026-01-19 17:34:11,7,7,7,4.5%,93,NORMAL,0.0,0.0,0.2,0.2,False,5.43,54.57
1768824257.11,2026-01-19 17:34:17,7,7,0,6.0%,93,NORMAL,0.0,0.0,0.2,0.2,False,5.43,54.57
1768824262.26,2026-01-19 17:34:22,6,7,0,6.5%,93,NORMAL,0.0,0.0,0.2,0.2,False,4.68,55.32
1768824267.45,2026-01-19 17:34:27,5,7,5,6.5%,93,NORMAL,0.0,0.0,0.2,0.2,False,3.91,56.09
1768824272.80,2026-01-19 17:34:32,5,7,5,6.5%,93,NORMAL,0.0,0.0,0.2,0.2,False,3.91,56.09
1768824274.56,2026-01-19 17:34:34,5,7,7,6.5%,93,NORMAL,0.0,0.0,0.2,0.2,False,3.91,56.09
1768824280.49,2026-01-19 17:34:40,5,7,5,6.5%,93,NORMAL,0.0,0.0,0.2,0.2,False,3.91,56.09
1768824286.06,2026-01-19 17:34:46,6,7,6,6.6%,93,NORMAL,0.0,0.0,0.2,0.2,False,4.68,55.32
1768824291.83,2026-01-19 17:34:51,6,7,6,6.8%,93,NORMAL,0.0,0.0,0.2,0.2,False,4.68,55.32
1768824298.31,2026-01-19 17:34:58,5,7,6,6.7%,93,NORMAL,0.0,0.0,0.2,0.2,False,3.91,56.09
1768824303.97,2026-01-19 17:35:03,5,7,6,6.7%,93,NORMAL,0.0,0.0,0.2,0.2,False,3.91,56.09
1768824305.37,2026-01-19 17:35:05,6,7,9,6.8%,93,NORMAL,0.0,0.0,0.2,0.2,False,4.68,55.32
1768824310.95,2026-01-19 17:35:10,6,7,6,6.9%,93,NORMAL,0.0,0.0,0.2,0.2,False,4.68,55.32
1768824316.71,2026-01-19 17:35:16,3,7,6,6.7%,93,NORMAL,0.0,0.0,0.2,0.2,False,2.37,57.63
1768824322.47,2026-01-19 17:35:22,3,7,6,6.5%,93,NORMAL,0.0,0.0,0.2,0.2,False,2.37,57.63
1768824328.58,2026-01-19 17:35:28,3,7,6,6.4%,93,NORMAL,0.0,0.0,0.2,0.2,False,2.37,57.63
1768824334.39,2026-01-19 17:35:34,2,7,6,6.2%,93,NORMAL,0.0,0.0,0.2,0.2,False,1.59,58.41
1768824340.74,2026-01-19 17:35:40,2,7,6,6.0%,93,NORMAL,348.4,0.0,0.2,0.2,False,1.59,58.41
1768824346.51,2026-01-19 17:35:46,3,7,6,5.9%,93,NORMAL,327.3,0.0,0.2,0.2,False,2.37,57.63
1768824352.44,2026-01-19 17:35:52,2,7,6,5.7%,93,NORMAL,308.6,0.0,0.2,0.2,False,1.59,58.41
1768824358.33,2026-01-19 17:35:58,2,7,6,5.6%,93,NORMAL,291.9,0.0,0.2,0.2,False,1.59,58.41
1768824364.07,2026-01-19 17:36:04,3,7,6,5.5%,93,NORMAL,276.9,0.0,0.2,0.2,False,2.37,57.63
1768824370.71,2026-01-19 17:36:10,3,7,7,5.4%,93,NORMAL,307.3,0.0,0.2,0.2,False,2.37,57.63
1768824376.92,2026-01-19 17:36:16,3,7,7,5.4%,93,NORMAL,293.0,0.0,0.2,0.2,False,2.37,57.63
1768824382.96,2026-01-19 17:36:22,3,7,7,5.3%,93,NORMAL,280.0,0.0,0.2,0.2,False,2.37,57.63
