timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,alert_active
1767804384.91,2026-01-07 22:16:24,0,0,0,0.0%,125,NORMAL,0.0,0.0,0.1,False
1767804400.31,2026-01-07 22:16:40,13,13,13,6.2%,125,NORMAL,0.0,0.0,0.1,False
1767804414.36,2026-01-07 22:16:54,12,13,13,8.0%,125,NORMAL,0.0,0.0,0.1,False
1767804429.52,2026-01-07 22:17:09,14,14,15,9.3%,125,NORMAL,0.0,0.0,0.1,False
1767804436.74,2026-01-07 22:17:16,14,14,15,10.1%,125,NORMAL,0.0,0.0,0.1,False
1767804444.29,2026-01-07 22:17:24,13,14,15,10.5%,125,NORMAL,0.0,0.0,0.1,False
1767804456.81,2026-01-07 22:17:36,13,14,15,10.8%,125,NORMAL,0.0,0.0,0.1,False
1767804471.07,2026-01-07 22:17:51,13,14,15,11.0%,125,NORMAL,0.0,0.0,0.1,False
