timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,alert_active
1767798368.46,2026-01-07 20:36:08,0,0,0,0.0%,125,NORMAL,0.0,0.0,1.3,False
1767798369.53,2026-01-07 20:36:09,2,4,5,1.0%,125,NORMAL,0.0,0.0,6.1,False
1767798370.56,2026-01-07 20:36:10,5,6,9,2.3%,125,NORMAL,0.0,0.0,8.2,False
1767798371.58,2026-01-07 20:36:11,5,6,10,2.9%,125,NORMAL,473.7,0.0,10.3,False
1767798372.60,2026-01-07 20:36:12,3,6,11,3.0%,125,NORMAL,396.0,0.0,11.7,False
1767798373.68,2026-01-07 20:36:13,1,6,12,2.6%,125,NORMAL,342.9,0.0,12.7,False
1767798374.71,2026-01-07 20:36:14,1,6,13,2.4%,125,NORMAL,307.9,0.0,13.4,False
1767798375.77,2026-01-07 20:36:15,2,6,15,2.3%,125,NORMAL,303.4,0.0,13.9,False
