timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,processing_fps,alert_active,area_used_sqm,area_free_sqm
1768822753.11,2026-01-19 17:09:13,0,0,0,0.0%,93,NORMAL,0.0,0.0,0.2,0.2,False,0.00,60.00
1768822758.30,2026-01-19 17:09:18,7,7,7,4.5%,93,NORMAL,0.0,0.0,0.2,0.2,False,5.43,54.57
1768822763.42,2026-01-19 17:09:23,7,7,0,6.0%,93,NORMAL,0.0,0.0,0.2,0.2,False,5.43,54.57
1768822768.55,2026-01-19 17:09:28,6,7,0,6.5%,93,NORMAL,0.0,0.0,0.2,0.2,False,4.68,55.32
1768822773.96,2026-01-19 17:09:33,5,7,5,6.5%,93,NORMAL,0.0,0.0,0.2,0.2,False,3.91,56.09
1768822779.01,2026-01-19 17:09:39,5,7,5,6.5%,93,NORMAL,0.0,0.0,0.2,0.2,False,3.91,56.09
1768822780.52,2026-01-19 17:09:40,5,7,7,6.5%,93,NORMAL,0.0,0.0,0.2,0.2,False,3.91,56.09
1768822785.68,2026-01-19 17:09:45,5,7,5,6.5%,93,NORMAL,0.0,0.0,0.2,0.2,False,3.91,56.09
1768822790.82,2026-01-19 17:09:50,6,7,6,6.6%,93,NORMAL,0.0,0.0,0.2,0.2,False,4.68,55.32
1768822796.26,2026-01-19 17:09:56,6,7,6,6.8%,93,NORMAL,0.0,0.0,0.2,0.2,False,4.68,55.32
1768822801.90,2026-01-19 17:10:01,5,7,6,6.7%,93,NORMAL,0.0,0.0,0.2,0.2,False,3.91,56.09
1768822807.61,2026-01-19 17:10:07,5,7,6,6.7%,93,NORMAL,0.0,0.0,0.2,0.2,False,3.91,56.09
1768822809.04,2026-01-19 17:10:09,6,7,9,6.8%,93,NORMAL,0.0,0.0,0.2,0.2,False,4.68,55.32
1768822814.60,2026-01-19 17:10:14,6,7,6,6.9%,93,NORMAL,0.0,0.0,0.2,0.2,False,4.68,55.32
1768822820.09,2026-01-19 17:10:20,3,7,6,6.7%,93,NORMAL,0.0,0.0,0.2,0.2,False,2.37,57.63
1768822825.58,2026-01-19 17:10:25,3,7,6,6.5%,93,NORMAL,0.0,0.0,0.2,0.2,False,2.37,57.63
1768822831.23,2026-01-19 17:10:31,3,7,6,6.4%,93,NORMAL,0.0,0.0,0.2,0.2,False,2.37,57.63
1768822836.92,2026-01-19 17:10:36,2,7,6,6.2%,93,NORMAL,0.0,0.0,0.2,0.2,False,1.59,58.41
1768822842.84,2026-01-19 17:10:42,2,7,6,6.0%,93,NORMAL,348.4,0.0,0.2,0.2,False,1.59,58.41
1768822848.49,2026-01-19 17:10:48,3,7,6,5.9%,93,NORMAL,327.3,0.0,0.2,0.2,False,2.37,57.63
1768822853.99,2026-01-19 17:10:53,2,7,6,5.7%,93,NORMAL,308.6,0.0,0.2,0.2,False,1.59,58.41
1768822859.57,2026-01-19 17:10:59,2,7,6,5.6%,93,NORMAL,291.9,0.0,0.2,0.2,False,1.59,58.41
1768822865.19,2026-01-19 17:11:05,3,7,6,5.5%,93,NORMAL,276.9,0.0,0.2,0.2,False,2.37,57.63
1768822871.21,2026-01-19 17:11:11,3,7,7,5.4%,93,NORMAL,307.3,0.0,0.2,0.2,False,2.37,57.63
1768822876.81,2026-01-19 17:11:16,3,7,7,5.4%,93,NORMAL,293.0,0.0,0.2,0.2,False,2.37,57.63
1768822882.35,2026-01-19 17:11:22,3,7,7,5.3%,93,NORMAL,280.0,0.0,0.2,0.2,False,2.37,57.63
1768822887.84,2026-01-19 17:11:27,4,7,7,5.3%,93,NORMAL,268.1,0.0,0.2,0.2,False,3.14,56.86
1768822893.28,2026-01-19 17:11:33,3,7,7,5.3%,93,NORMAL,257.1,0.0,0.2,0.2,False,2.37,57.63
