timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,alert_active
1767798087.32,2026-01-07 20:31:27,0,0,0,0.0%,125,NORMAL,0.0,0.0,1.5,False
1767798088.35,2026-01-07 20:31:28,1,4,5,0.5%,125,NORMAL,0.0,0.0,6.9,False
1767798089.41,2026-01-07 20:31:29,5,6,9,2.0%,125,NORMAL,0.0,0.0,9.4,False
1767798090.46,2026-01-07 20:31:30,4,6,11,2.5%,125,NORMAL,471.4,0.0,12.0,False
1767798091.49,2026-01-07 20:31:31,3,6,12,2.6%,125,NORMAL,392.7,0.0,13.3,False
1767798092.50,2026-01-07 20:31:32,1,6,12,2.3%,125,NORMAL,317.6,0.0,14.1,False
1767798093.55,2026-01-07 20:31:33,2,6,15,2.3%,125,NORMAL,329.3,0.0,14.7,False
1767798094.62,2026-01-07 20:31:34,2,6,18,2.2%,125,NORMAL,337.5,0.0,15.9,False
