timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,alert_active
1767618353.32,2026-01-05 18:35:53,0,0,0,0.0%,28,Normal,0.0,0.0,1.5,False
1767618356.13,2026-01-05 18:35:56,11,11,11,39.3%,28,Normal,0.0,0.0,2.1,False
1767618357.21,2026-01-05 18:35:57,10,11,15,35.7%,28,Normal,0.0,0.0,5.7,False
1767618358.33,2026-01-05 18:35:58,13,13,18,46.4%,28,Normal,0.0,0.0,7.5,False
1767618359.33,2026-01-05 18:35:59,13,16,23,46.4%,28,Normal,1380.0,0.0,8.6,False
1767618360.39,2026-01-05 18:36:00,12,16,25,42.9%,28,Normal,1153.8,0.0,10.2,False
1767618361.40,2026-01-05 18:36:01,9,16,26,32.1%,28,Normal,975.0,0.0,11.2,False
1767618362.40,2026-01-05 18:36:02,10,16,27,35.7%,28,Normal,852.6,0.0,11.9,False
1767618363.42,2026-01-05 18:36:03,10,16,28,35.7%,28,Normal,763.6,0.0,12.3,False
1767618364.47,2026-01-05 18:36:04,9,16,31,32.1%,28,Normal,734.2,0.0,12.8,False
1767618365.56,2026-01-05 18:36:05,12,16,33,42.9%,28,Normal,690.7,0.0,13.1,False
1767618366.67,2026-01-05 18:36:06,10,16,36,35.7%,28,Normal,675.0,0.0,14.0,False
1767618367.68,2026-01-05 18:36:07,13,16,41,46.4%,28,Normal,702.9,0.0,14.8,False
1767618368.76,2026-01-05 18:36:08,14,16,43,50.0%,28,Normal,678.9,0.0,15.2,False
1767618369.77,2026-01-05 18:36:09,14,16,45,50.0%,28,Normal,663.9,0.0,15.4,False
1767618370.88,2026-01-05 18:36:10,12,16,47,42.9%,28,Normal,645.8,0.0,15.3,False
1767618372.04,2026-01-05 18:36:12,12,16,47,42.9%,28,Normal,600.0,0.0,15.2,False
1767618373.22,2026-01-05 18:36:13,13,16,48,46.4%,28,Normal,572.2,0.0,15.2,False
1767618374.37,2026-01-05 18:36:14,10,16,49,35.7%,28,Normal,547.8,0.0,15.1,False
1767618375.53,2026-01-05 18:36:15,11,16,51,39.3%,28,Normal,536.8,0.0,15.0,False
1767618376.68,2026-01-05 18:36:16,10,16,51,35.7%,28,Normal,507.2,0.0,14.8,False
1767618377.72,2026-01-05 18:36:17,11,16,51,39.3%,28,Normal,480.6,0.0,14.8,False
1767618378.78,2026-01-05 18:36:18,11,16,51,39.3%,28,Normal,456.7,0.0,14.8,False
1767618379.79,2026-01-05 18:36:19,10,16,53,35.7%,28,Normal,452.1,0.0,15.0,False
1767618380.82,2026-01-05 18:36:20,11,16,54,39.3%,28,Normal,437.8,0.0,15.1,False
1767618381.86,2026-01-05 18:36:21,11,16,55,39.3%,28,Normal,424.9,0.0,15.3,False
1767618382.87,2026-01-05 18:36:22,10,16,56,35.7%,28,Normal,414.8,0.0,15.5,False
1767618383.96,2026-01-05 18:36:23,9,16,56,32.1%,28,Normal,396.9,0.0,15.6,False
1767618384.96,2026-01-05 18:36:24,10,16,57,35.7%,28,Normal,388.6,0.0,15.6,False
1767618386.02,2026-01-05 18:36:26,10,16,58,35.7%,28,Normal,381.0,0.0,15.6,False
1767618387.10,2026-01-05 18:36:27,9,16,59,32.1%,28,Normal,373.9,0.0,15.6,False
1767618388.20,2026-01-05 18:36:28,13,16,62,46.4%,28,Normal,380.9,0.0,15.5,False
1767618389.47,2026-01-05 18:36:29,18,19,67,64.3%,28,High,400.7,0.0,15.5,False
1767618390.52,2026-01-05 18:36:30,15,19,67,53.6%,28,High,389.0,0.0,15.4,False
1767618391.58,2026-01-05 18:36:31,16,19,67,57.1%,28,High,380.4,0.0,15.2,False
1767618392.64,2026-01-05 18:36:32,17,19,67,60.7%,28,High,371.1,0.0,15.1,False
1767618393.79,2026-01-05 18:36:33,16,19,67,57.1%,28,High,364.4,0.0,15.0,False
1767618394.86,2026-01-05 18:36:34,15,19,67,53.6%,28,High,356.8,0.0,14.8,False
1767618395.93,2026-01-05 18:36:35,18,19,71,64.3%,28,High,370.4,0.0,14.6,False
1767618396.99,2026-01-05 18:36:36,17,19,71,60.7%,28,High,364.1,0.0,14.5,False
1767618398.02,2026-01-05 18:36:38,16,19,73,57.1%,28,High,365.0,0.0,14.3,False
1767618399.09,2026-01-05 18:36:39,13,19,74,46.4%,28,Normal,362.0,0.0,14.1,False
1767618400.18,2026-01-05 18:36:40,12,19,74,42.9%,28,Normal,354.3,0.0,14.0,False
1767618401.27,2026-01-05 18:36:41,15,19,76,53.6%,28,High,355.3,0.0,13.9,False
1767618402.29,2026-01-05 18:36:42,15,19,76,53.6%,28,High,349.9,0.0,13.8,False
1767618403.36,2026-01-05 18:36:43,13,19,77,46.4%,28,Normal,346.5,0.0,13.7,False
1767618404.43,2026-01-05 18:36:44,15,19,78,53.6%,28,High,345.0,0.0,13.6,False
1767618405.44,2026-01-05 18:36:45,13,19,80,46.4%,28,Normal,347.0,0.0,13.5,False
1767618406.47,2026-01-05 18:36:46,12,19,80,42.9%,28,Normal,341.2,0.0,13.5,False
1767618407.56,2026-01-05 18:36:47,17,19,84,60.7%,28,High,351.6,0.0,13.5,False
1767618408.83,2026-01-05 18:36:48,18,19,85,64.3%,28,High,350.9,0.0,13.6,False
1767618409.89,2026-01-05 18:36:49,17,19,86,60.7%,28,High,350.2,0.0,13.6,False
1767618410.91,2026-01-05 18:36:50,19,19,88,67.9%,28,High,354.4,0.0,13.6,False
1767618411.93,2026-01-05 18:36:51,15,19,89,53.6%,28,High,353.6,0.0,13.5,False
1767618412.93,2026-01-05 18:36:52,15,19,90,53.6%,28,High,352.9,0.0,13.4,False
1767618414.23,2026-01-05 18:36:54,16,19,93,57.1%,28,High,359.2,0.0,13.3,False
1767618415.34,2026-01-05 18:36:55,16,19,93,57.1%,28,High,353.9,0.0,13.2,False
1767618416.36,2026-01-05 18:36:56,16,19,94,57.1%,28,High,354.0,0.0,13.1,False
1767618417.47,2026-01-05 18:36:57,18,20,96,64.3%,28,High,357.8,0.0,13.0,False
1767618418.52,2026-01-05 18:36:58,17,20,97,60.7%,28,High,357.1,0.0,12.9,False
1767618419.91,2026-01-05 18:36:59,18,20,97,64.3%,28,High,352.0,0.0,12.8,False
1767618420.95,2026-01-05 18:37:00,13,20,99,46.4%,28,Normal,354.3,0.0,12.7,False
1767618422.04,2026-01-05 18:37:02,17,20,102,60.7%,28,High,360.0,0.0,12.6,False
1767618423.37,2026-01-05 18:37:03,20,20,105,71.4%,28,High,366.3,0.0,12.5,False
1767618424.37,2026-01-05 18:37:04,17,20,105,60.7%,28,High,362.1,0.0,12.5,False
1767618425.37,2026-01-05 18:37:05,15,20,105,53.6%,28,High,357.3,0.0,12.4,False
1767618426.54,2026-01-05 18:37:06,13,20,106,46.4%,28,Normal,356.0,0.0,12.4,False
1767618427.65,2026-01-05 18:37:07,16,20,108,57.1%,28,High,358.0,0.0,12.5,False
1767618428.76,2026-01-05 18:37:08,16,20,109,57.1%,28,High,357.4,0.0,12.5,False
1767618429.80,2026-01-05 18:37:09,14,20,110,50.0%,28,Normal,356.8,0.0,12.5,False
1767618430.93,2026-01-05 18:37:10,13,20,111,46.4%,28,Normal,356.1,0.0,12.5,False
1767618432.01,2026-01-05 18:37:12,15,20,114,53.6%,28,High,361.3,0.0,12.5,False
1767618433.09,2026-01-05 18:37:13,14,20,114,50.0%,28,Normal,356.9,0.0,12.5,False
1767618434.49,2026-01-05 18:37:14,14,20,114,50.0%,28,Normal,353.2,0.0,12.5,False
1767618435.52,2026-01-05 18:37:15,15,20,115,53.6%,28,High,352.6,0.0,12.5,False
1767618436.56,2026-01-05 18:37:16,14,20,117,50.0%,28,Normal,355.1,0.0,12.5,False
1767618437.63,2026-01-05 18:37:17,16,20,118,57.1%,28,High,354.6,0.0,12.4,False
1767618438.82,2026-01-05 18:37:18,13,20,119,46.4%,28,Normal,353.5,0.0,12.3,False
1767618439.97,2026-01-05 18:37:19,16,20,121,57.1%,28,High,354.7,0.0,12.2,False
1767618441.20,2026-01-05 18:37:21,13,20,123,46.4%,28,Normal,356.5,0.0,12.1,False
1767618442.26,2026-01-05 18:37:22,17,20,126,60.7%,28,High,361.7,0.0,12.0,False
1767618443.28,2026-01-05 18:37:23,16,20,126,57.1%,28,High,358.3,0.0,12.0,False
1767618444.41,2026-01-05 18:37:24,15,20,126,53.6%,28,High,354.4,0.0,11.9,False
1767618445.54,2026-01-05 18:37:25,14,20,127,50.0%,28,Normal,353.9,0.0,11.9,False
1767618446.55,2026-01-05 18:37:26,15,20,128,53.6%,28,High,352.8,0.0,11.9,False
1767618447.70,2026-01-05 18:37:27,13,20,129,46.4%,28,Normal,351.3,0.0,11.9,False
1767618448.71,2026-01-05 18:37:28,12,20,132,42.9%,28,Normal,355.2,0.0,11.9,False
1767618449.77,2026-01-05 18:37:29,12,20,132,42.9%,28,Normal,351.5,0.0,11.9,False
1767618450.85,2026-01-05 18:37:30,11,20,134,39.3%,28,Normal,352.1,0.0,12.0,False
1767618451.94,2026-01-05 18:37:31,12,20,135,42.9%,28,Normal,351.7,0.0,12.1,False
1767618453.03,2026-01-05 18:37:33,12,20,137,42.9%,28,Normal,353.3,0.0,12.2,False
1767618454.09,2026-01-05 18:37:34,15,20,139,53.6%,28,High,355.4,0.0,12.2,False
1767618455.18,2026-01-05 18:37:35,12,20,139,42.9%,28,Normal,352.9,0.0,12.2,False
1767618456.29,2026-01-05 18:37:36,13,20,139,46.4%,28,Normal,349.9,0.0,12.1,False
1767618457.40,2026-01-05 18:37:37,11,20,139,39.3%,28,Normal,347.0,0.0,12.0,False
1767618458.40,2026-01-05 18:37:38,12,20,140,42.9%,28,Normal,346.6,0.0,12.0,False
1767618459.49,2026-01-05 18:37:39,11,20,141,39.3%,28,Normal,345.8,0.0,11.9,False
1767618460.69,2026-01-05 18:37:40,11,20,142,39.3%,28,Normal,344.9,0.0,11.9,False
1767618461.78,2026-01-05 18:37:41,11,20,144,39.3%,28,Normal,346.1,0.0,11.9,False
1767618463.10,2026-01-05 18:37:43,13,20,146,46.4%,28,Normal,347.6,0.0,11.9,False
1767618464.11,2026-01-05 18:37:44,15,20,148,53.6%,28,High,350.1,0.0,11.9,False
1767618465.21,2026-01-05 18:37:45,13,20,149,46.4%,28,Normal,349.2,0.0,11.9,False
1767618466.22,2026-01-05 18:37:46,13,20,150,46.4%,28,Normal,348.4,0.0,11.8,False
1767618467.28,2026-01-05 18:37:47,12,20,150,42.9%,28,Normal,345.7,0.0,11.8,False
1767618468.35,2026-01-05 18:37:48,14,20,152,50.0%,28,Normal,346.8,0.0,11.7,False
1767618469.52,2026-01-05 18:37:49,13,20,152,46.4%,28,Normal,343.7,0.0,11.8,False
1767618470.52,2026-01-05 18:37:50,13,20,153,46.4%,28,Normal,343.0,0.0,11.9,False
1767618471.59,2026-01-05 18:37:51,12,20,153,42.9%,28,Normal,340.0,0.0,12.0,False
1767618472.59,2026-01-05 18:37:52,9,20,154,32.1%,28,Normal,339.7,0.0,12.1,False
1767618473.63,2026-01-05 18:37:53,11,20,157,39.3%,28,Normal,343.4,0.0,12.3,False
1767618474.69,2026-01-05 18:37:54,14,20,159,50.0%,28,Normal,344.8,0.0,12.4,False
1767618475.80,2026-01-05 18:37:55,15,20,160,53.6%,28,High,344.5,0.0,12.4,False
1767618476.92,2026-01-05 18:37:56,18,20,164,64.3%,28,High,350.2,0.0,12.4,False
1767618478.00,2026-01-05 18:37:57,17,20,164,60.7%,28,High,347.3,0.0,12.5,False
1767618479.19,2026-01-05 18:37:59,12,20,166,42.9%,28,Normal,349.1,0.0,12.5,False
1767618480.23,2026-01-05 18:38:00,13,20,170,46.4%,28,Normal,354.6,0.0,12.5,False
1767618481.41,2026-01-05 18:38:01,10,20,171,35.7%,28,Normal,353.4,0.0,12.5,False
1767618482.48,2026-01-05 18:38:02,10,20,172,35.7%,28,Normal,352.6,0.0,12.5,False
1767618483.51,2026-01-05 18:38:03,13,20,174,46.4%,28,Normal,354.3,0.0,12.5,False
1767618484.82,2026-01-05 18:38:04,15,20,176,53.6%,28,High,355.6,0.0,12.5,False
1767618485.91,2026-01-05 18:38:05,10,20,176,35.7%,28,Normal,352.4,0.0,12.5,False
1767618487.22,2026-01-05 18:38:07,16,20,178,57.1%,28,High,353.6,0.0,12.5,False
1767618488.26,2026-01-05 18:38:08,15,20,180,53.6%,28,High,354.9,0.0,12.5,False
1767618489.27,2026-01-05 18:38:09,11,20,180,39.3%,28,Normal,352.2,0.0,12.5,False
1767618490.40,2026-01-05 18:38:10,12,20,183,42.9%,28,Normal,355.7,0.0,12.5,False
1767618491.51,2026-01-05 18:38:11,13,20,184,46.4%,28,Normal,354.6,0.0,12.5,False
1767618492.68,2026-01-05 18:38:12,12,20,185,42.9%,28,Normal,353.9,0.0,12.5,False
1767618493.75,2026-01-05 18:38:13,14,20,187,50.0%,28,Normal,355.1,0.0,12.5,False
1767618494.82,2026-01-05 18:38:14,12,20,189,42.9%,28,Normal,356.2,0.0,12.5,False
1767618495.96,2026-01-05 18:38:15,14,20,189,50.0%,28,Normal,354.0,0.0,12.6,False
1767618496.99,2026-01-05 18:38:16,12,20,189,42.9%,28,Normal,351.8,0.0,12.6,False
1767618498.08,2026-01-05 18:38:18,12,20,190,42.9%,28,Normal,351.1,0.0,12.5,False
1767618499.27,2026-01-05 18:38:19,9,20,193,32.1%,28,Normal,354.1,0.0,12.5,False
1767618500.33,2026-01-05 18:38:20,12,20,196,42.9%,28,Normal,357.4,0.0,12.4,False
1767618501.45,2026-01-05 18:38:21,14,20,199,50.0%,28,Normal,360.4,0.0,12.4,False
1767618502.81,2026-01-05 18:38:22,13,20,199,46.4%,28,Normal,357.8,0.0,12.3,False
1767618503.89,2026-01-05 18:38:23,11,20,200,39.3%,28,Normal,357.1,0.0,12.2,False
1767618504.91,2026-01-05 18:38:24,11,20,205,39.3%,28,Normal,363.9,0.0,12.1,False
1767618505.91,2026-01-05 18:38:25,14,20,207,50.0%,28,Normal,365.3,0.0,12.1,False
1767618507.12,2026-01-05 18:38:27,12,20,209,42.9%,28,Normal,366.7,0.0,12.0,False
1767618508.17,2026-01-05 18:38:28,14,20,211,50.0%,28,Normal,368.0,0.0,11.9,False
1767618509.24,2026-01-05 18:38:29,17,20,211,60.7%,28,High,366.2,0.0,11.8,False
1767618510.34,2026-01-05 18:38:30,13,20,212,46.4%,28,Normal,365.9,0.0,11.7,False
1767618511.35,2026-01-05 18:38:31,11,20,213,39.3%,28,Normal,365.5,0.0,11.6,False
1767618512.39,2026-01-05 18:38:32,9,20,213,32.1%,28,Normal,363.4,0.0,11.5,False
1767618513.61,2026-01-05 18:38:33,12,20,215,42.9%,28,Normal,364.8,0.0,11.5,False
1767618514.64,2026-01-05 18:38:34,11,20,217,39.3%,28,Normal,366.1,0.0,11.4,False
1767618515.69,2026-01-05 18:38:35,13,20,219,46.4%,28,Normal,367.7,0.0,11.4,False
1767618516.80,2026-01-05 18:38:36,14,20,221,50.0%,28,Normal,369.0,0.0,11.3,False
1767618517.83,2026-01-05 18:38:37,12,20,221,42.9%,28,Normal,367.3,0.0,11.3,False
1767618518.86,2026-01-05 18:38:38,16,20,222,57.1%,28,High,367.3,0.0,11.3,False
1767618519.89,2026-01-05 18:38:39,13,20,224,46.4%,28,Normal,368.9,0.0,11.3,False
1767618521.00,2026-01-05 18:38:40,14,20,224,50.0%,28,Normal,366.9,0.0,11.2,False
1767618522.03,2026-01-05 18:38:42,12,20,225,42.9%,28,Normal,366.5,0.0,11.2,False
1767618523.32,2026-01-05 18:38:43,13,20,227,46.4%,28,Normal,367.8,0.0,11.2,False
