timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,processing_fps,alert_active,area_used_sqm,area_free_sqm
1767888387.57,2026-01-08 21:36:27,0,0,0,0.0%,18,NORMAL,0.0,0.0,0.4,0.4,False,0.00,44.19
1767888394.27,2026-01-08 21:36:34,6,6,0,4.7%,18,NORMAL,0.0,0.0,0.4,0.4,False,4.16,40.03
1767888396.03,2026-01-08 21:36:36,5,6,0,5.8%,18,NORMAL,0.0,0.0,0.5,0.5,False,3.56,40.64
1767888397.88,2026-01-08 21:36:37,5,6,5,6.4%,18,NORMAL,0.0,0.0,0.5,0.5,False,3.56,40.64
1767888399.74,2026-01-08 21:36:39,4,6,5,6.4%,18,NORMAL,0.0,0.0,0.5,0.5,False,2.92,41.28
1767888401.53,2026-01-08 21:36:41,4,6,5,6.4%,18,NORMAL,0.0,0.0,0.5,0.5,False,2.92,41.28
1767888403.41,2026-01-08 21:36:43,3,6,5,6.3%,18,NORMAL,0.0,0.0,0.5,0.5,False,2.24,41.95
1767888405.16,2026-01-08 21:36:45,3,6,5,6.1%,18,NORMAL,0.0,0.0,0.5,0.5,False,2.24,41.95
1767888406.99,2026-01-08 21:36:46,1,6,5,5.6%,18,NORMAL,0.0,0.0,0.5,0.5,False,0.78,43.41
1767888408.89,2026-01-08 21:36:48,4,6,5,5.7%,18,NORMAL,0.0,0.0,0.5,0.5,False,2.92,41.28
1767888410.81,2026-01-08 21:36:50,4,6,5,5.8%,18,NORMAL,0.0,0.0,0.5,0.5,False,2.92,41.28
1767888412.75,2026-01-08 21:36:52,5,6,6,6.0%,18,NORMAL,0.0,0.0,0.5,0.5,False,3.56,40.64
1767888415.00,2026-01-08 21:36:55,5,6,7,6.1%,18,NORMAL,0.0,0.0,0.5,0.5,False,3.56,40.64
1767888417.28,2026-01-08 21:36:57,4,6,8,6.2%,18,NORMAL,0.0,0.0,0.5,0.5,False,2.92,41.28
1767888419.70,2026-01-08 21:36:59,4,6,8,6.2%,18,NORMAL,0.0,0.0,0.5,0.5,False,2.92,41.28
1767888422.06,2026-01-08 21:37:02,4,6,8,6.2%,18,NORMAL,0.0,0.0,0.5,0.5,False,2.92,41.28
1767888424.43,2026-01-08 21:37:04,4,6,8,6.3%,18,NORMAL,0.0,0.0,0.5,0.5,False,2.92,41.28
1767888426.86,2026-01-08 21:37:06,4,6,8,6.3%,18,NORMAL,0.0,0.0,0.5,0.5,False,2.92,41.28
1767888429.29,2026-01-08 21:37:09,3,6,8,6.2%,18,NORMAL,0.0,0.0,0.5,0.5,False,2.24,41.95
1767888431.53,2026-01-08 21:37:11,3,6,8,6.2%,18,NORMAL,0.0,0.0,0.5,0.5,False,2.24,41.95
1767888433.80,2026-01-08 21:37:13,4,6,8,6.2%,18,NORMAL,0.0,0.0,0.5,0.5,False,2.92,41.28
1767888435.92,2026-01-08 21:37:15,2,6,8,6.0%,18,NORMAL,0.0,0.0,0.5,0.5,False,1.53,42.67
1767888438.19,2026-01-08 21:37:18,2,6,8,5.9%,18,NORMAL,0.0,0.0,0.5,0.5,False,1.53,42.67
1767888440.64,2026-01-08 21:37:20,2,6,8,5.8%,18,NORMAL,0.0,0.0,0.5,0.5,False,1.53,42.67
1767888443.25,2026-01-08 21:37:23,2,6,8,5.7%,18,NORMAL,0.0,0.0,0.5,0.5,False,1.53,42.67
1767888445.83,2026-01-08 21:37:25,2,6,8,5.7%,18,NORMAL,0.0,0.0,0.5,0.5,False,1.53,42.67
1767888448.58,2026-01-08 21:37:28,1,6,8,5.5%,18,NORMAL,0.0,0.0,0.5,0.5,False,0.78,43.41
1767888451.19,2026-01-08 21:37:31,1,6,8,5.4%,18,NORMAL,0.0,0.0,0.5,0.5,False,0.78,43.41
1767888453.92,2026-01-08 21:37:33,1,6,8,5.2%,18,NORMAL,0.0,0.0,0.5,0.5,False,0.78,43.41
1767888456.44,2026-01-08 21:37:36,1,6,8,5.1%,18,NORMAL,480.0,0.0,0.5,0.5,False,0.78,43.41
1767888458.88,2026-01-08 21:37:38,1,6,8,5.2%,18,NORMAL,464.5,0.0,0.5,0.5,False,0.78,43.41
1767888461.18,2026-01-08 21:37:41,1,6,8,4.9%,18,NORMAL,450.0,0.0,0.5,0.5,False,0.78,43.41
1767888463.54,2026-01-08 21:37:43,1,6,8,4.7%,18,NORMAL,436.4,0.0,0.5,0.5,False,0.78,43.41
1767888465.90,2026-01-08 21:37:45,1,6,8,4.5%,18,NORMAL,423.5,0.0,0.5,0.5,False,0.78,43.41
1767888468.19,2026-01-08 21:37:48,1,6,8,4.4%,18,NORMAL,411.4,0.0,0.5,0.5,False,0.78,43.41
1767888470.44,2026-01-08 21:37:50,0,6,7,4.1%,18,NORMAL,350.0,0.0,0.5,0.5,False,0.00,44.19
1767888472.86,2026-01-08 21:37:52,0,6,7,4.0%,18,NORMAL,340.5,0.0,0.5,0.5,False,0.00,44.19
1767888475.55,2026-01-08 21:37:55,1,6,7,3.9%,18,NORMAL,331.6,0.0,0.5,0.5,False,0.78,43.41
1767888478.09,2026-01-08 21:37:58,1,6,7,3.9%,18,NORMAL,323.1,0.0,0.5,0.5,False,0.78,43.41
1767888480.42,2026-01-08 21:38:00,1,6,7,3.7%,18,NORMAL,315.0,0.0,0.5,0.5,False,0.78,43.41
1767888482.90,2026-01-08 21:38:02,2,6,7,3.6%,18,NORMAL,307.3,0.0,0.5,0.5,False,1.53,42.67
1767888485.36,2026-01-08 21:38:05,1,6,7,3.4%,18,NORMAL,300.0,0.0,0.5,0.5,False,0.78,43.41
1767888487.70,2026-01-08 21:38:07,2,6,8,3.2%,18,NORMAL,334.9,0.0,0.5,0.5,False,1.53,42.67
1767888490.11,2026-01-08 21:38:10,2,6,8,3.1%,18,NORMAL,327.3,0.0,0.5,0.5,False,1.53,42.67
1767888492.58,2026-01-08 21:38:12,1,6,8,3.0%,18,NORMAL,320.0,0.0,0.5,0.5,False,0.78,43.41
1767888494.99,2026-01-08 21:38:14,1,6,8,2.8%,18,NORMAL,313.0,0.0,0.5,0.5,False,0.78,43.41
1767888497.39,2026-01-08 21:38:17,3,6,8,2.8%,18,NORMAL,306.4,0.0,0.5,0.5,False,2.24,41.95
1767888499.81,2026-01-08 21:38:19,3,6,8,2.7%,18,NORMAL,300.0,0.0,0.5,0.5,False,2.24,41.95
1767888502.17,2026-01-08 21:38:22,3,6,8,2.7%,18,NORMAL,293.9,0.0,0.5,0.5,False,2.24,41.95
1767888504.68,2026-01-08 21:38:24,3,6,8,2.7%,18,NORMAL,288.0,0.0,0.5,0.5,False,2.24,41.95
1767888507.05,2026-01-08 21:38:27,2,6,8,2.6%,18,NORMAL,282.4,0.0,0.5,0.5,False,1.53,42.67
1767888509.56,2026-01-08 21:38:29,2,6,8,2.6%,18,NORMAL,276.9,0.0,0.5,0.5,False,1.53,42.67
1767888511.89,2026-01-08 21:38:31,1,6,8,2.5%,18,NORMAL,271.7,0.0,0.5,0.5,False,0.78,43.41
1767888514.37,2026-01-08 21:38:34,1,6,8,2.5%,18,NORMAL,266.7,0.0,0.5,0.5,False,0.78,43.41
1767888516.71,2026-01-08 21:38:36,1,6,8,2.4%,18,NORMAL,261.8,0.0,0.5,0.5,False,0.78,43.41
1767888519.37,2026-01-08 21:38:39,2,6,8,2.4%,18,NORMAL,257.1,0.0,0.5,0.5,False,1.53,42.67
1767888521.76,2026-01-08 21:38:41,1,6,8,2.4%,18,NORMAL,252.6,0.0,0.5,0.5,False,0.78,43.41
1767888524.25,2026-01-08 21:38:44,3,6,8,2.5%,18,NORMAL,248.3,0.0,0.5,0.5,False,2.24,41.95
1767888526.54,2026-01-08 21:38:46,1,6,8,2.5%,18,NORMAL,244.1,0.0,0.5,0.5,False,0.78,43.41
1767888528.91,2026-01-08 21:38:48,2,6,8,2.6%,18,NORMAL,240.0,0.0,0.5,0.5,False,1.53,42.67
1767888531.55,2026-01-08 21:38:51,2,6,8,2.7%,18,NORMAL,236.1,0.0,0.5,0.5,False,1.53,42.67
1767888534.23,2026-01-08 21:38:54,2,6,8,2.7%,18,NORMAL,232.3,0.0,0.5,0.5,False,1.53,42.67
1767888536.54,2026-01-08 21:38:56,2,6,8,2.8%,18,NORMAL,228.6,0.0,0.5,0.5,False,1.53,42.67
1767888539.09,2026-01-08 21:38:59,2,6,8,2.8%,18,NORMAL,225.0,0.0,0.5,0.5,False,1.53,42.67
1767888541.60,2026-01-08 21:39:01,2,6,8,2.9%,18,NORMAL,221.5,0.0,0.5,0.5,False,1.53,42.67
1767888544.05,2026-01-08 21:39:04,3,6,8,3.0%,18,NORMAL,218.2,0.0,0.5,0.5,False,2.24,41.95
1767888546.67,2026-01-08 21:39:06,3,6,8,3.2%,18,NORMAL,214.9,0.0,0.5,0.5,False,2.24,41.95
1767888549.28,2026-01-08 21:39:09,3,6,9,3.3%,18,NORMAL,238.2,0.0,0.5,0.5,False,2.24,41.95
1767888551.73,2026-01-08 21:39:11,3,6,9,3.4%,18,NORMAL,234.8,0.0,0.5,0.5,False,2.24,41.95
1767888554.75,2026-01-08 21:39:14,2,6,9,3.5%,18,NORMAL,231.4,0.0,0.5,0.5,False,1.53,42.67
1767888557.60,2026-01-08 21:39:17,4,6,9,3.6%,18,NORMAL,228.2,0.0,0.5,0.5,False,2.92,41.28
1767888560.27,2026-01-08 21:39:20,4,6,9,3.8%,18,NORMAL,225.0,0.0,0.5,0.5,False,2.92,41.28
1767888562.72,2026-01-08 21:39:22,4,6,10,3.9%,18,NORMAL,246.6,0.0,0.5,0.5,False,2.92,41.28
1767888565.42,2026-01-08 21:39:25,4,6,10,4.0%,18,NORMAL,243.2,0.0,0.5,0.5,False,2.92,41.28
1767888567.90,2026-01-08 21:39:27,3,6,10,4.1%,18,NORMAL,240.0,0.0,0.5,0.5,False,2.24,41.95
1767888570.75,2026-01-08 21:39:30,2,6,10,4.1%,18,NORMAL,236.8,0.0,0.5,0.5,False,1.53,42.67
1767888573.42,2026-01-08 21:39:33,3,6,10,4.1%,18,NORMAL,233.8,0.0,0.5,0.5,False,2.24,41.95
1767888576.26,2026-01-08 21:39:36,3,6,10,4.1%,18,NORMAL,230.8,0.0,0.5,0.5,False,2.24,41.95
1767888578.96,2026-01-08 21:39:38,3,6,10,4.1%,18,NORMAL,227.8,0.0,0.4,0.4,False,2.24,41.95
