timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,alert_active
1767694161.89,2026-01-06 15:39:21,0,0,0,0.0%,78,NORMAL,0.0,0.0,1.5,False
1767694164.88,2026-01-06 15:39:24,6,6,6,4.7%,78,NORMAL,0.0,0.0,2.0,False
1767694165.96,2026-01-06 15:39:25,5,6,6,5.7%,78,NORMAL,0.0,0.0,5.3,False
1767694166.99,2026-01-06 15:39:26,6,6,8,6.6%,78,NORMAL,0.0,0.0,7.0,False
1767694168.01,2026-01-06 15:39:28,5,7,9,6.8%,78,NORMAL,0.0,0.0,7.9,False
1767694169.26,2026-01-06 15:39:29,7,7,12,7.5%,78,NORMAL,600.0,0.0,9.2,False
1767694170.37,2026-01-06 15:39:30,7,8,15,8.0%,78,NORMAL,600.0,0.0,10.2,False
1767694171.42,2026-01-06 15:39:31,6,8,15,8.1%,78,NORMAL,529.4,0.0,10.7,False
1767694172.50,2026-01-06 15:39:32,5,8,16,8.1%,78,NORMAL,480.0,0.0,11.3,False
1767694173.53,2026-01-06 15:39:33,6,8,17,8.2%,78,NORMAL,450.0,0.0,11.6,False
