timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,alert_active
1767870018.38,2026-01-08 16:30:18,0,0,0,0.0%,125,NORMAL,0.0,0.0,0.2,False
1767870025.48,2026-01-08 16:30:25,15,15,15,7.1%,125,NORMAL,0.0,0.0,0.2,False
1767870029.70,2026-01-08 16:30:29,14,15,15,9.2%,125,NORMAL,0.0,0.0,0.2,False
1767870033.97,2026-01-08 16:30:33,12,15,15,9.8%,125,NORMAL,0.0,0.0,0.2,False
1767870038.28,2026-01-08 16:30:38,13,15,15,10.3%,125,NORMAL,0.0,0.0,0.2,False
1767870042.54,2026-01-08 16:30:42,12,15,15,10.5%,125,NORMAL,0.0,0.0,0.2,False
1767870046.79,2026-01-08 16:30:46,13,15,16,10.8%,125,NORMAL,0.0,0.0,0.2,False
1767870051.04,2026-01-08 16:30:51,10,15,16,10.6%,125,NORMAL,0.0,0.0,0.2,False
1767870055.31,2026-01-08 16:30:55,11,15,17,10.6%,125,NORMAL,0.0,0.0,0.2,False
1767870059.63,2026-01-08 16:30:59,15,15,19,11.0%,125,NORMAL,0.0,0.0,0.2,False
1767870063.88,2026-01-08 16:31:03,16,16,20,11.4%,125,NORMAL,0.0,0.0,0.2,False
1767870068.14,2026-01-08 16:31:08,18,18,21,11.8%,125,NORMAL,0.0,0.0,0.2,False
1767870072.44,2026-01-08 16:31:12,18,18,21,12.2%,125,NORMAL,0.0,0.0,0.2,False
1767870076.72,2026-01-08 16:31:16,17,18,22,12.5%,125,NORMAL,0.0,0.0,0.2,False
1767870081.02,2026-01-08 16:31:21,16,18,22,12.7%,125,NORMAL,0.0,0.0,0.2,False
1767870085.41,2026-01-08 16:31:25,18,18,24,12.9%,125,NORMAL,0.0,0.0,0.2,False
1767870089.86,2026-01-08 16:31:29,17,18,25,13.1%,125,NORMAL,0.0,0.0,0.2,False
1767870094.28,2026-01-08 16:31:34,14,18,25,13.1%,125,NORMAL,0.0,0.0,0.2,False
1767870098.88,2026-01-08 16:31:38,13,18,25,13.1%,125,NORMAL,0.0,0.0,0.2,False
1767870103.31,2026-01-08 16:31:43,15,18,26,13.2%,125,NORMAL,0.0,0.0,0.2,False
1767870107.72,2026-01-08 16:31:47,16,18,26,13.2%,125,NORMAL,0.0,0.0,0.2,False
1767870112.13,2026-01-08 16:31:52,18,18,28,13.4%,125,NORMAL,0.0,0.0,0.2,False
1767870116.53,2026-01-08 16:31:56,14,18,28,13.4%,125,NORMAL,0.0,0.0,0.2,False
1767870121.05,2026-01-08 16:32:01,14,18,29,13.4%,125,NORMAL,0.0,0.0,0.2,False
1767870125.48,2026-01-08 16:32:05,14,18,29,13.4%,125,NORMAL,0.0,0.0,0.2,False
1767870129.96,2026-01-08 16:32:09,14,18,29,13.4%,125,NORMAL,0.0,0.0,0.2,False
1767870134.63,2026-01-08 16:32:14,13,18,29,13.4%,125,NORMAL,0.0,0.0,0.2,False
1767870139.16,2026-01-08 16:32:19,14,18,29,13.4%,125,NORMAL,0.0,0.0,0.2,False
1767870143.69,2026-01-08 16:32:23,14,18,29,13.4%,125,NORMAL,0.0,0.0,0.2,False
1767870148.25,2026-01-08 16:32:28,14,18,29,13.4%,125,NORMAL,1740.0,0.0,0.2,False
1767870152.90,2026-01-08 16:32:32,16,18,30,13.9%,125,NORMAL,1741.9,0.0,0.2,False
1767870157.55,2026-01-08 16:32:37,14,18,31,13.8%,125,NORMAL,1743.8,0.0,0.2,False
1767870162.31,2026-01-08 16:32:42,17,18,31,13.9%,125,NORMAL,1690.9,0.0,0.2,False
1767870167.22,2026-01-08 16:32:47,15,18,31,14.0%,125,NORMAL,1641.2,0.0,0.2,False
1767870172.18,2026-01-08 16:32:52,12,18,31,14.0%,125,NORMAL,1594.3,0.0,0.2,False
1767870177.19,2026-01-08 16:32:57,10,18,31,13.9%,125,NORMAL,1550.0,0.0,0.2,False
1767870182.04,2026-01-08 16:33:02,11,18,31,13.9%,125,NORMAL,1508.1,0.0,0.2,False
1767870186.77,2026-01-08 16:33:06,13,18,31,14.0%,125,NORMAL,1468.4,0.0,0.2,False
1767870191.71,2026-01-08 16:33:11,14,18,32,14.0%,125,NORMAL,1476.9,0.0,0.2,False
1767870196.28,2026-01-08 16:33:16,13,18,32,14.0%,125,NORMAL,1440.0,0.0,0.2,False
1767870200.91,2026-01-08 16:33:20,11,18,32,13.8%,125,NORMAL,1404.9,0.0,0.2,False
