timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,alert_active
1767694216.54,2026-01-06 15:40:16,0,0,0,0.0%,76,NORMAL,0.0,0.0,6.5,False
1767694217.76,2026-01-06 15:40:17,12,12,12,9.2%,76,NORMAL,0.0,0.0,7.7,False
1767694218.86,2026-01-06 15:40:18,10,12,12,11.3%,76,NORMAL,0.0,0.0,8.4,False
1767694219.96,2026-01-06 15:40:19,10,12,12,12.3%,76,NORMAL,0.0,0.0,8.7,False
1767694221.10,2026-01-06 15:40:21,10,12,13,12.9%,76,NORMAL,0.0,0.0,8.9,False
1767694222.19,2026-01-06 15:40:22,9,12,13,13.1%,76,NORMAL,780.0,0.0,9.0,False
1767694223.47,2026-01-06 15:40:23,11,12,15,13.6%,76,NORMAL,750.0,0.0,9.1,False
1767694224.52,2026-01-06 15:40:24,8,12,15,13.5%,76,NORMAL,642.9,0.0,9.3,False
1767694225.57,2026-01-06 15:40:25,9,12,17,13.6%,76,NORMAL,624.5,0.0,9.4,False
1767694226.68,2026-01-06 15:40:26,8,12,17,13.4%,76,NORMAL,556.4,0.0,9.5,False
1767694227.91,2026-01-06 15:40:27,7,12,17,13.2%,76,NORMAL,501.6,0.0,9.6,False
1767694229.03,2026-01-06 15:40:29,8,12,18,13.2%,76,NORMAL,483.6,0.0,9.6,False
1767694230.10,2026-01-06 15:40:30,6,12,20,12.9%,76,NORMAL,493.2,0.0,9.7,False
1767694231.25,2026-01-06 15:40:31,7,12,20,12.7%,76,NORMAL,450.0,0.0,9.7,False
1767694232.27,2026-01-06 15:40:32,8,12,20,12.7%,76,NORMAL,423.5,0.0,9.7,False
1767694233.55,2026-01-06 15:40:33,7,12,20,12.6%,76,NORMAL,395.6,0.0,9.8,False
1767694234.68,2026-01-06 15:40:34,9,12,21,12.7%,76,NORMAL,389.7,0.0,9.9,False
