timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,alert_active
1767694203.77,2026-01-06 15:40:03,7,8,8,12.0%,70,NORMAL,0.0,0.0,13.8,False
1767694204.85,2026-01-06 15:40:04,9,9,13,13.6%,70,NORMAL,0.0,0.0,14.1,False
1767694206.04,2026-01-06 15:40:06,11,11,17,15.2%,70,NORMAL,0.0,0.0,14.2,False
1767694207.12,2026-01-06 15:40:07,12,14,21,16.4%,70,NORMAL,1260.0,0.0,14.4,False
1767694208.20,2026-01-06 15:40:08,9,14,23,16.2%,70,NORMAL,1035.0,0.0,14.6,False
1767694209.22,2026-01-06 15:40:09,8,14,24,15.7%,70,NORMAL,900.0,0.0,14.9,False
1767694210.22,2026-01-06 15:40:10,11,14,26,16.1%,70,NORMAL,821.1,0.0,15.1,False
1767694211.33,2026-01-06 15:40:11,11,14,27,16.4%,70,NORMAL,736.4,0.0,15.2,False
1767694212.34,2026-01-06 15:40:12,10,14,29,16.4%,70,NORMAL,696.0,0.0,15.3,False
1767694213.41,2026-01-06 15:40:13,10,14,31,16.5%,70,NORMAL,664.3,0.0,15.4,False
1767694214.46,2026-01-06 15:40:14,12,14,34,16.8%,70,NORMAL,658.1,0.0,15.6,False
