timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,alert_active
1767694182.92,2026-01-06 15:39:42,0,0,0,0.0%,78,NORMAL,0.0,0.0,1.3,False
1767694186.27,2026-01-06 15:39:46,6,6,6,4.7%,78,NORMAL,0.0,0.0,1.7,False
1767694187.29,2026-01-06 15:39:47,4,6,6,5.2%,78,NORMAL,0.0,0.0,4.3,False
1767694188.38,2026-01-06 15:39:48,6,6,7,6.2%,78,NORMAL,0.0,0.0,5.4,False
1767694189.41,2026-01-06 15:39:49,7,7,9,7.1%,78,NORMAL,0.0,0.0,6.3,False
1767694190.44,2026-01-06 15:39:50,4,7,9,7.0%,78,NORMAL,540.0,0.0,6.9,False
1767694191.67,2026-01-06 15:39:51,7,7,12,7.5%,78,NORMAL,600.0,0.0,7.6,False
1767694192.72,2026-01-06 15:39:52,5,8,14,7.6%,78,NORMAL,586.0,0.0,8.3,False
1767694193.82,2026-01-06 15:39:53,7,8,15,7.9%,78,NORMAL,551.0,0.0,8.7,False
1767694195.04,2026-01-06 15:39:55,4,8,15,7.8%,78,NORMAL,482.1,0.0,9.0,False
1767694196.14,2026-01-06 15:39:56,4,8,16,7.6%,78,NORMAL,450.0,0.0,9.3,False
1767694197.44,2026-01-06 15:39:57,8,8,19,8.0%,78,NORMAL,481.7,0.0,9.6,False
1767694198.46,2026-01-06 15:39:58,6,8,19,8.1%,78,NORMAL,444.2,0.0,9.7,False
1767694199.54,2026-01-06 15:39:59,7,8,20,8.3%,78,NORMAL,428.6,0.0,9.9,False
1767694200.59,2026-01-06 15:40:00,5,8,21,8.3%,78,NORMAL,420.0,0.0,10.0,False
1767694201.75,2026-01-06 15:40:01,5,8,21,8.2%,78,NORMAL,393.8,0.0,10.6,False
