timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,processing_fps,alert_active,area_used_sqm,area_free_sqm
1767953489.77,2026-01-09 15:41:29,0,0,0,0.0%,124,NORMAL,0.0,0.0,0.0,0.0,False,0.00,80.00
1767953533.88,2026-01-09 15:42:13,17,17,17,8.0%,124,NORMAL,0.0,0.0,0.0,0.0,False,12.85,67.15
1767953536.33,2026-01-09 15:42:16,17,17,0,10.7%,124,NORMAL,0.0,0.0,0.1,0.1,False,12.85,67.15
1767953539.06,2026-01-09 15:42:19,14,17,0,11.4%,124,NORMAL,0.0,0.0,0.1,0.1,False,10.69,69.31
1767953541.94,2026-01-09 15:42:21,11,17,10,11.2%,124,NORMAL,0.0,0.0,0.1,0.1,False,8.49,71.51
1767953544.38,2026-01-09 15:42:24,9,17,11,10.8%,124,NORMAL,0.0,0.0,0.1,0.1,False,6.99,73.01
1767953546.86,2026-01-09 15:42:26,9,17,12,10.5%,124,NORMAL,0.0,0.0,0.1,0.1,False,6.99,73.01
1767953549.26,2026-01-09 15:42:29,11,17,13,10.5%,124,NORMAL,0.0,0.0,0.1,0.1,False,8.49,71.51
1767953551.80,2026-01-09 15:42:31,11,17,14,10.5%,124,NORMAL,0.0,0.0,0.1,0.1,False,8.49,71.51
1767953554.26,2026-01-09 15:42:34,10,17,15,10.4%,124,NORMAL,0.0,0.0,0.1,0.1,False,7.74,72.26
1767953556.87,2026-01-09 15:42:36,10,17,15,10.4%,124,NORMAL,0.0,0.0,0.2,0.2,False,7.74,72.26
1767953559.48,2026-01-09 15:42:39,10,17,15,10.3%,124,NORMAL,0.0,0.0,0.2,0.2,False,7.74,72.26
1767953562.04,2026-01-09 15:42:42,12,17,17,10.4%,124,NORMAL,0.0,0.0,0.2,0.2,False,9.23,70.77
1767953564.51,2026-01-09 15:42:44,11,17,18,10.4%,124,NORMAL,0.0,0.0,0.2,0.2,False,8.49,71.51
1767953567.33,2026-01-09 15:42:47,10,17,18,10.4%,124,NORMAL,0.0,0.0,0.2,0.2,False,7.74,72.26
1767953569.82,2026-01-09 15:42:49,10,17,18,10.3%,124,NORMAL,0.0,0.0,0.2,0.2,False,7.74,72.26
1767953572.27,2026-01-09 15:42:52,13,17,19,10.5%,124,NORMAL,1103.2,0.0,0.2,0.2,False,9.96,70.04
1767953574.86,2026-01-09 15:42:54,14,17,19,10.6%,124,NORMAL,1036.4,0.0,0.2,0.2,False,10.69,69.31
1767953577.50,2026-01-09 15:42:57,12,17,21,10.7%,124,NORMAL,1080.0,0.0,0.2,0.2,False,9.23,70.77
1767953580.12,2026-01-09 15:43:00,11,17,22,10.7%,124,NORMAL,1070.3,0.0,0.2,0.2,False,8.49,71.51
1767953582.66,2026-01-09 15:43:02,11,17,22,10.7%,124,NORMAL,1015.4,0.0,0.2,0.2,False,8.49,71.51
1767953585.23,2026-01-09 15:43:05,13,17,22,10.7%,124,NORMAL,965.9,0.0,0.2,0.2,False,9.96,70.04
1767953587.67,2026-01-09 15:43:07,9,17,23,10.7%,124,NORMAL,962.8,0.0,0.2,0.2,False,6.99,73.01
1767953590.15,2026-01-09 15:43:10,9,17,24,10.6%,124,NORMAL,960.0,0.0,0.2,0.2,False,6.99,73.01
1767953592.79,2026-01-09 15:43:12,11,17,24,10.6%,124,NORMAL,919.1,0.0,0.2,0.2,False,8.49,71.51
1767953595.24,2026-01-09 15:43:15,12,17,25,10.6%,124,NORMAL,918.4,0.0,0.2,0.2,False,9.23,70.77
1767953597.68,2026-01-09 15:43:17,11,17,26,10.6%,124,NORMAL,917.6,0.0,0.2,0.2,False,8.49,71.51
1767953600.06,2026-01-09 15:43:20,9,17,26,10.5%,124,NORMAL,883.0,0.0,0.2,0.2,False,6.99,73.01
1767953602.53,2026-01-09 15:43:22,9,17,26,10.5%,124,NORMAL,850.9,0.0,0.2,0.2,False,6.99,73.01
1767953605.09,2026-01-09 15:43:25,10,17,26,10.5%,124,NORMAL,821.1,0.0,0.2,0.2,False,7.74,72.26
1767953607.49,2026-01-09 15:43:27,10,17,27,10.8%,124,NORMAL,823.7,0.0,0.2,0.2,False,7.74,72.26
1767953609.91,2026-01-09 15:43:29,10,17,27,10.6%,124,NORMAL,796.7,0.0,0.2,0.2,False,7.74,72.26
1767953612.35,2026-01-09 15:43:32,12,17,27,10.4%,124,NORMAL,771.4,0.0,0.3,0.3,False,9.23,70.77
1767953614.82,2026-01-09 15:43:34,12,17,28,10.4%,124,NORMAL,775.4,0.0,0.3,0.3,False,9.23,70.77
1767953617.32,2026-01-09 15:43:37,11,17,28,10.4%,124,NORMAL,752.2,0.0,0.3,0.3,False,8.49,71.51
1767953619.81,2026-01-09 15:43:39,8,17,28,10.3%,124,NORMAL,730.4,0.0,0.3,0.3,False,6.23,73.77
1767953622.51,2026-01-09 15:43:42,9,17,28,10.3%,124,NORMAL,709.9,0.0,0.3,0.3,False,6.99,73.01
1767953625.23,2026-01-09 15:43:45,10,17,28,10.3%,124,NORMAL,690.4,0.0,0.3,0.3,False,7.74,72.26
1767953627.93,2026-01-09 15:43:47,11,17,30,10.3%,124,NORMAL,720.0,0.0,0.3,0.3,False,8.49,71.51
1767953630.72,2026-01-09 15:43:50,9,17,30,10.3%,124,NORMAL,701.3,0.0,0.3,0.3,False,6.99,73.01
1767953633.71,2026-01-09 15:43:53,11,17,30,10.3%,124,NORMAL,683.5,0.0,0.3,0.3,False,8.49,71.51
1767953636.53,2026-01-09 15:43:56,13,17,30,10.4%,124,NORMAL,666.7,0.0,0.3,0.3,False,9.96,70.04
1767953639.22,2026-01-09 15:43:59,11,17,31,10.4%,124,NORMAL,672.3,0.0,0.3,0.3,False,8.49,71.51
1767953641.69,2026-01-09 15:44:01,13,17,32,10.4%,124,NORMAL,677.6,0.0,0.3,0.3,False,9.96,70.04
1767953644.56,2026-01-09 15:44:04,13,17,32,10.5%,124,NORMAL,662.1,0.0,0.3,0.3,False,9.96,70.04
1767953647.17,2026-01-09 15:44:07,12,17,32,10.6%,124,NORMAL,647.2,0.0,0.3,0.3,False,9.23,70.77
1767953649.75,2026-01-09 15:44:09,10,17,33,10.5%,124,NORMAL,652.7,0.0,0.3,0.3,False,7.74,72.26
1767953652.31,2026-01-09 15:44:12,11,17,33,10.4%,124,NORMAL,638.7,0.0,0.3,0.3,False,8.49,71.51
1767953654.81,2026-01-09 15:44:14,10,17,33,10.3%,124,NORMAL,625.3,0.0,0.3,0.3,False,7.74,72.26
1767953657.29,2026-01-09 15:44:17,11,17,33,10.3%,124,NORMAL,612.4,0.0,0.3,0.3,False,8.49,71.51
1767953659.94,2026-01-09 15:44:19,10,17,35,10.3%,124,NORMAL,636.4,0.0,0.3,0.3,False,7.74,72.26
1767953662.67,2026-01-09 15:44:22,10,17,36,10.2%,124,NORMAL,641.6,0.0,0.3,0.3,False,7.74,72.26
1767953665.73,2026-01-09 15:44:25,9,17,36,10.2%,124,NORMAL,629.1,0.0,0.3,0.3,False,6.99,73.01
1767953668.44,2026-01-09 15:44:28,9,17,36,10.2%,124,NORMAL,617.1,0.0,0.3,0.3,False,6.99,73.01
1767953671.02,2026-01-09 15:44:31,6,17,36,10.0%,124,NORMAL,605.6,0.0,0.3,0.3,False,4.71,75.29
1767953673.79,2026-01-09 15:44:33,6,17,36,9.9%,124,NORMAL,594.5,0.0,0.3,0.3,False,4.71,75.29
