timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,processing_fps,alert_active,area_used_sqm,area_free_sqm
1767884362.95,2026-01-08 20:29:22,0,0,0,0.0%,18,NORMAL,0.0,0.0,0.0,0.0,False,0.00,44.19
1767884664.41,2026-01-08 20:34:24,6,6,0,4.7%,18,NORMAL,0.0,0.0,0.0,0.0,False,4.16,40.03
1767884667.73,2026-01-08 20:34:27,5,6,0,5.8%,18,NORMAL,0.0,0.0,0.0,0.0,False,3.56,40.64
1767884670.64,2026-01-08 20:34:30,5,6,5,6.4%,18,NORMAL,0.0,0.0,0.0,0.0,False,3.56,40.64
1767884673.60,2026-01-08 20:34:33,4,6,5,6.4%,18,NORMAL,0.0,0.0,0.0,0.0,False,2.92,41.28
1767884676.50,2026-01-08 20:34:36,4,6,5,6.4%,18,NORMAL,0.0,0.0,0.0,0.0,False,2.92,41.28
1767884679.50,2026-01-08 20:34:39,3,6,5,6.3%,18,NORMAL,0.0,0.0,0.0,0.0,False,2.24,41.95
1767884682.54,2026-01-08 20:34:42,3,6,5,6.1%,18,NORMAL,0.0,0.0,0.1,0.1,False,2.24,41.95
1767884685.41,2026-01-08 20:34:45,1,6,5,5.6%,18,NORMAL,0.0,0.0,0.1,0.1,False,0.78,43.41
1767884688.70,2026-01-08 20:34:48,4,6,5,5.7%,18,NORMAL,0.0,0.0,0.1,0.1,False,2.92,41.28
1767884692.02,2026-01-08 20:34:52,4,6,5,5.8%,18,NORMAL,0.0,0.0,0.1,0.1,False,2.92,41.28
1767884695.57,2026-01-08 20:34:55,5,6,6,6.0%,18,NORMAL,0.0,0.0,0.1,0.1,False,3.56,40.64
1767884699.57,2026-01-08 20:34:59,5,6,7,6.1%,18,NORMAL,0.0,0.0,0.1,0.1,False,3.56,40.64
1767884702.88,2026-01-08 20:35:02,4,6,8,6.2%,18,NORMAL,0.0,0.0,0.1,0.1,False,2.92,41.28
1767884705.59,2026-01-08 20:35:05,4,6,8,6.2%,18,NORMAL,0.0,0.0,0.1,0.1,False,2.92,41.28
1767884708.15,2026-01-08 20:35:08,4,6,8,6.2%,18,NORMAL,0.0,0.0,0.1,0.1,False,2.92,41.28
1767884710.83,2026-01-08 20:35:10,4,6,8,6.3%,18,NORMAL,0.0,0.0,0.1,0.1,False,2.92,41.28
1767884713.52,2026-01-08 20:35:13,4,6,8,6.3%,18,NORMAL,0.0,0.0,0.1,0.1,False,2.92,41.28
1767884716.15,2026-01-08 20:35:16,3,6,8,6.2%,18,NORMAL,0.0,0.0,0.1,0.1,False,2.24,41.95
1767884718.99,2026-01-08 20:35:18,3,6,8,6.2%,18,NORMAL,0.0,0.0,0.1,0.1,False,2.24,41.95
1767884721.73,2026-01-08 20:35:21,4,6,8,6.2%,18,NORMAL,0.0,0.0,0.1,0.1,False,2.92,41.28
1767884724.65,2026-01-08 20:35:24,2,6,8,6.0%,18,NORMAL,0.0,0.0,0.1,0.1,False,1.53,42.67
1767884727.23,2026-01-08 20:35:27,2,6,8,5.9%,18,NORMAL,0.0,0.0,0.1,0.1,False,1.53,42.67
1767884729.85,2026-01-08 20:35:29,2,6,8,5.8%,18,NORMAL,0.0,0.0,0.1,0.1,False,1.53,42.67
1767884732.58,2026-01-08 20:35:32,2,6,8,5.7%,18,NORMAL,0.0,0.0,0.1,0.1,False,1.53,42.67
1767884735.14,2026-01-08 20:35:35,2,6,8,5.7%,18,NORMAL,0.0,0.0,0.1,0.1,False,1.53,42.67
1767884737.87,2026-01-08 20:35:37,1,6,8,5.5%,18,NORMAL,0.0,0.0,0.1,0.1,False,0.78,43.41
1767884740.52,2026-01-08 20:35:40,1,6,8,5.4%,18,NORMAL,0.0,0.0,0.1,0.1,False,0.78,43.41
1767884743.22,2026-01-08 20:35:43,1,6,8,5.2%,18,NORMAL,0.0,0.0,0.1,0.1,False,0.78,43.41
1767884745.85,2026-01-08 20:35:45,1,6,8,5.1%,18,NORMAL,480.0,0.0,0.1,0.1,False,0.78,43.41
1767884748.94,2026-01-08 20:35:48,1,6,8,5.2%,18,NORMAL,464.5,0.0,0.1,0.1,False,0.78,43.41
1767884751.82,2026-01-08 20:35:51,1,6,8,4.9%,18,NORMAL,450.0,0.0,0.1,0.1,False,0.78,43.41
1767884754.44,2026-01-08 20:35:54,1,6,8,4.7%,18,NORMAL,436.4,0.0,0.1,0.1,False,0.78,43.41
1767884757.11,2026-01-08 20:35:57,1,6,8,4.5%,18,NORMAL,423.5,0.0,0.1,0.1,False,0.78,43.41
1767884759.78,2026-01-08 20:35:59,1,6,8,4.4%,18,NORMAL,411.4,0.0,0.2,0.2,False,0.78,43.41
1767884762.54,2026-01-08 20:36:02,0,6,7,4.1%,18,NORMAL,350.0,0.0,0.2,0.2,False,0.00,44.19
1767884765.34,2026-01-08 20:36:05,0,6,7,4.0%,18,NORMAL,340.5,0.0,0.2,0.2,False,0.00,44.19
1767884768.53,2026-01-08 20:36:08,1,6,7,3.9%,18,NORMAL,331.6,0.0,0.2,0.2,False,0.78,43.41
1767884771.58,2026-01-08 20:36:11,1,6,7,3.9%,18,NORMAL,323.1,0.0,0.2,0.2,False,0.78,43.41
1767884774.37,2026-01-08 20:36:14,1,6,7,3.7%,18,NORMAL,315.0,0.0,0.2,0.2,False,0.78,43.41
1767884777.13,2026-01-08 20:36:17,2,6,7,3.6%,18,NORMAL,307.3,0.0,0.2,0.2,False,1.53,42.67
1767884780.14,2026-01-08 20:36:20,1,6,7,3.4%,18,NORMAL,300.0,0.0,0.2,0.2,False,0.78,43.41
1767884782.62,2026-01-08 20:36:22,2,6,8,3.2%,18,NORMAL,334.9,0.0,0.2,0.2,False,1.53,42.67
1767884785.89,2026-01-08 20:36:25,2,6,8,3.1%,18,NORMAL,327.3,0.0,0.2,0.2,False,1.53,42.67
1767884789.02,2026-01-08 20:36:29,1,6,8,3.0%,18,NORMAL,320.0,0.0,0.2,0.2,False,0.78,43.41
1767884792.12,2026-01-08 20:36:32,1,6,8,2.8%,18,NORMAL,313.0,0.0,0.2,0.2,False,0.78,43.41
1767884794.74,2026-01-08 20:36:34,3,6,8,2.8%,18,NORMAL,306.4,0.0,0.2,0.2,False,2.24,41.95
