timestamp,datetime,current_occupancy,peak_occupancy,unique_people,utilization_pct,est_capacity,capacity_status,flow_rate_per_min,avg_dwell_time_sec,processing_fps,alert_active
1767798318.06,2026-01-07 20:35:18,0,0,0,0.0%,125,NORMAL,0.0,0.0,1.4,False
1767798319.09,2026-01-07 20:35:19,2,4,5,1.0%,125,NORMAL,0.0,0.0,6.2,False
1767798320.13,2026-01-07 20:35:20,5,6,9,2.3%,125,NORMAL,0.0,0.0,8.5,False
1767798321.20,2026-01-07 20:35:21,4,6,10,2.7%,125,NORMAL,461.5,0.0,10.7,False
1767798322.24,2026-01-07 20:35:22,4,6,11,3.0%,125,NORMAL,388.2,0.0,12.1,False
1767798323.31,2026-01-07 20:35:23,1,6,12,2.6%,125,NORMAL,337.5,0.0,12.9,False
1767798324.32,2026-01-07 20:35:24,1,6,14,2.4%,125,NORMAL,331.6,0.0,13.4,False
1767798325.40,2026-01-07 20:35:25,2,6,16,2.3%,125,NORMAL,323.6,0.0,13.8,False
